genes,descriptions,num_populations,is_shared,EAS,EUR,AFR,SAS,AMR
SMYD3,SET and MYND domain containing 3,5,Yes,23.33118094,20.33775575,22.93335966,21.43655804,20.15712199
ADGRA1,adhesion G protein-coupled receptor A1,5,Yes,19.37076973,23.14584117,20.57530933,20.63972489,22.11960496
CYP4F11,cytochrome P450 family 4 subfamily F member 11,5,Yes,19.26264636,18.00111619,15.99835606,22.16347059,15.85165841
MICAL3,microtubule associated monooxygenase%2C calponin and LIM domain containing 3,5,Yes,21.33938184,22.13367884,20.94698248,18.8232688,20.72524771
ADARB2,adenosine deaminase RNA specific B2 (inactive),5,Yes,21.07498644,21.49803692,21.13472834,20.18255353,21.37106242
SLC6A3,solute carrier family 6 member 3,5,Yes,20.17566466,18.87702928,19.94101795,19.61599614,19.20773886
NXN,nucleoredoxin,5,Yes,17.70224063,15.36950034,17.71770178,18.79987886,17.16501655
ATP9B,ATPase phospholipid transporting 9B (putative),5,Yes,18.10272698,18.38958123,18.38518622,17.46375607,18.11289382
EML1,EMAP like 1,5,Yes,16.37116606,14.96751626,17.98040364,5.302836724,16.819302
DIP2C,disco interacting protein 2 homolog C,5,Yes,17.97605769,16.90616746,15.60428462,16.58356111,15.88822163
RAB11FIP3,RAB11 family interacting protein 3,5,Yes,17.38603958,14.67525504,16.1786126,14.23724664,15.9176994
MROH5,,5,Yes,16.83478381,15.4454287,16.55448203,16.65516319,16.00906422
C4orf19,chromosome 4 open reading frame 19,5,Yes,13.88654269,14.14974141,13.86714643,16.31391685,11.92681528
NOC4L,nucleolar complex associated 4 homolog,5,Yes,16.03264741,10.12119579,13.73454397,11.28637378,12.41037961
HLA-B,major histocompatibility complex%2C class I%2C B,5,Yes,15.47815902,15.99027313,15.31884819,15.4654077,15.74604512
EHMT1,euchromatic histone lysine methyltransferase 1,5,Yes,15.83678266,13.32642472,15.65163123,15.64318296,15.60520335
GGT4P,,5,Yes,15.21092956,14.26078204,13.37035369,14.15959749,13.38601322
LRRC27,leucine rich repeat containing 27,5,Yes,14.51707059,15.16556451,14.14076013,10.21985708,14.56816282
RFLNB,refilin B,5,Yes,14.12564844,15.01646553,12.06676705,12.23490105,13.92345701
LOC124905349,uncharacterized LOC124905349,5,Yes,14.1583892,12.67063535,13.31007899,12.41793572,14.38592122
HLA-C,major histocompatibility complex%2C class I%2C C,5,Yes,12.85968394,13.5182827,13.43331858,13.69842662,14.0075393
CHMP1A,charged multivesicular body protein 1A,5,Yes,12.29380398,13.98303121,13.35337754,12.89611554,12.9921387
HCG4P5,,5,Yes,13.92384172,11.20584643,13.55301619,13.44977881,13.84728534
DOCK1,dedicator of cytokinesis 1,5,Yes,12.91754195,13.74012011,12.65615607,12.3214515,11.99912948
FOXK2,forkhead box K2,5,Yes,11.66291586,12.49739962,12.57832833,12.43554528,12.80780201
FRG1-DT,FRG1 divergent transcript,5,Yes,11.31629805,9.974127941,12.36782446,10.38587257,11.41716384
LOC124903820,uncharacterized LOC124903820,5,Yes,12.1234194,11.33653904,10.78544683,8.054263269,8.832485459
F11-AS1,F11 antisense RNA 1,5,Yes,10.55716181,11.92122564,10.84398433,10.68154583,10.71621071
