genes,descriptions,num_populations,is_shared,EAS,EUR,AFR,SAS,AMR
LOC105375228,uncharacterized LOC105375228,5,Yes,31.15859459097151,24.174891562691368,27.73363840675047,21.655227703023478,24.919355767646934
PRKCA,protein kinase C alpha,5,Yes,19.47195916223434,28.797088648241818,18.99798207172018,25.52464654837263,22.156281508634105
SMYD3,SET and MYND domain containing 3,5,Yes,26.114041254431903,21.780699818153757,25.007861664390383,23.545974590325834,22.881340198314113
CYP4F11,cytochrome P450 family 4 subfamily F member 11,5,Yes,21.190432655078418,20.363481014783567,19.56471084632111,24.949846376729134,19.776897907762603
LINC01237,long intergenic non-protein coding RNA 1237,5,Yes,22.81575126815221,20.679129845036446,24.441635729659158,22.294880187386756,24.425049972585793
MICAL3,microtubule associated monooxygenase%2C calponin and LIM domain containing 3,5,Yes,22.405063890775455,23.176252284112923,21.65134946094774,19.247857604684857,21.51786054896466
ADGRA1,adhesion G protein-coupled receptor A1,5,Yes,19.646928591096255,23.145841165662706,20.575309327561918,20.63972489233801,22.119604964970957
NLRP4,NLR family pyrin domain containing 4,5,Yes,21.008592343363855,18.427966229699244,23.111867062047647,17.31402261133467,20.941026221662966
ADARB2,adenosine deaminase RNA specific B2 (inactive),5,Yes,22.786244534252415,22.780325501056225,21.849302116604537,22.039841396691884,21.95561329772839
SMOC2,SPARC related modular calcium binding 2,5,Yes,22.59150142424002,21.378422927571734,22.340678539933087,20.14664934788736,22.77196120650595
GGT4P,,5,Yes,19.560512368060028,21.68328258887848,20.275546898057375,20.57186816418663,20.125878382984926
RAB11FIP3,RAB11 family interacting protein 3,5,Yes,21.29528045176378,19.379451711695914,20.26661269735607,19.659204117601185,20.59282773341231
DIP2C,disco interacting protein 2 homolog C,5,Yes,20.591642884584378,19.139501655706827,17.765674228502924,18.104246211852598,16.388665863419767
PDCD6-AHRR,PDCD6-AHRR readthrough (NMD candidate),5,Yes,11.777854718810314,20.2163277299826,14.217672060287484,20.417034579242525,17.238140597027684
MROH5,,5,Yes,20.32908171859988,19.154638105846374,19.729210548076466,19.227361891505524,20.03991500984109
SLC6A3,solute carrier family 6 member 3,5,Yes,20.175664656405626,19.85390397624386,19.941017952748474,19.615996138882267,19.207738858246664
RPTOR,regulatory associated protein of MTOR complex 1,5,Yes,19.139056055867197,19.561647931852587,17.79884685966581,20.10097578696139,18.920553169880343
FRG1-DT,FRG1 divergent transcript,5,Yes,19.25547821600911,17.054205947614115,19.12603223869494,17.946730220054093,19.848273304850462
ATP9B,ATPase phospholipid transporting 9B (putative),5,Yes,19.383173303896882,19.281887443273988,19.43683378448255,18.77884355592581,18.875971276115685
CACNA1C,calcium voltage-gated channel subunit alpha1 C,5,Yes,17.5179865399787,18.61368482978011,19.43670301852286,18.181738538235948,17.197118644197882
NXN,nucleoredoxin,5,Yes,17.70224062592882,15.3695003414229,17.717701778259887,19.42187879517405,17.165016547850207
NOC4L,nucleolar complex associated 4 homolog,5,Yes,19.169161501370414,12.891208912714154,16.67274174619758,15.362326491224206,15.177676758193206
SPIRE2,spire type actin nucleation factor 2,5,Yes,17.12265883604264,17.809839150189298,18.134298342528876,18.982532254377414,15.913871715872196
LOC124908159,uncharacterized LOC124908159,5,Yes,18.91463876189573,15.341525505979705,14.05600639600189,10.875241075473614,12.018130996864038
TTLL8,tubulin tyrosine ligase like 8,5,Yes,11.499952255535549,18.686105453943643,15.193357747557316,16.72007853405052,12.920021736998594
LOC124907094,uncharacterized LOC124907094,5,Yes,13.557219208684293,17.572691984115536,18.498514860467196,6.178648082023331,17.18099617677417
LOC105372225,uncharacterized LOC105372225,5,Yes,14.256354565253503,15.139842330010588,15.024972808351773,17.489435662583066,18.30233687721985
RPH3AL,rabphilin 3A like (without C2 domains),5,Yes,17.529350216971746,17.293679832068694,17.279272877472227,18.141642231627472,17.61678159713723
FOXN3,forkhead box N3,5,Yes,17.570943261531244,18.08323507683644,16.41185004341599,16.324777562526435,16.528078740056493
LOC124906390,uncharacterized LOC124906390,5,Yes,14.60585185767847,17.042923522425454,16.694055566568593,17.98751773467698,16.811354460538023
EML1,EMAP like 1,5,Yes,16.37116605536158,14.96751626198249,17.980403637478393,5.302836724014672,16.819301999126044
F11-AS1,F11 antisense RNA 1,5,Yes,17.85391284537911,13.946527624064194,16.649072334872802,17.194428377930816,16.07023936962195
GALNT9,polypeptide N-acetylgalactosaminyltransferase 9,5,Yes,16.658270042324958,17.788840080179412,16.044360019073622,15.351601533343361,15.716521263894611
STOX2,storkhead box 2,5,Yes,17.39159422540355,15.316299899841713,14.618384323878201,12.63549324977855,14.594127612770109
DISP3,dispatched RND transporter family member 3,5,Yes,17.363866776976817,16.43378553742915,16.988981754090183,15.180111122640698,15.180107018184724
LOC101929614,proline-rich receptor-like protein kinase PERK10,5,Yes,17.263295829676938,15.42042918519627,16.61916881001123,13.451059063671776,13.64524105751211
COL4A2,collagen type IV alpha 2 chain,5,Yes,14.166948885812328,12.23797871692325,15.875639236470038,17.041112874154855,16.0198108018096
RIMBP2,RIMS binding protein 2,5,Yes,15.361087676841912,14.663592483487466,14.242697544179148,17.027504293601393,14.496776710338837
EHMT1,euchromatic histone lysine methyltransferase 1,5,Yes,17.019488863006558,15.466162629848125,16.765083729075343,16.166173000624855,16.677776750647475
MYT1,myelin transcription factor 1,5,Yes,14.967386204615071,15.50006910654863,15.423613175098096,17.008675394204204,15.148812239390931
CHMP1A,charged multivesicular body protein 1A,5,Yes,14.49506279655735,16.999469759979384,16.672502593360196,13.774369323516133,16.501384919199747
PLEKHG4B,pleckstrin homology and RhoGEF domain containing G4B,5,Yes,15.512170071616051,16.378083164478717,14.529264877722198,16.978399233860056,14.250304233326045
RPS6KA2,ribosomal protein S6 kinase A2,5,Yes,16.888627021609114,9.736264778754935,10.497132912819522,11.156849021955535,13.178447786247322
LOC124907093,uncharacterized LOC124907093,5,Yes,13.333771236027664,14.457835680831428,16.726104771399207,5.609164239320238,12.73312991050825
LOC102723847,uncharacterized LOC102723847,5,Yes,11.121988944164617,14.135014401122808,8.160339812527637,16.70769231151821,12.705161044545822
LINC01667,long intergenic non-protein coding RNA 1667,5,Yes,10.853493032976248,16.462626083397353,9.73147658528384,11.748520523070443,8.162185161843574
SLC6A12,solute carrier family 6 member 12,5,Yes,6.043660370000044,9.851437889175534,16.411735439003344,9.529773164419414,16.138347213662282
SNTG2,syntrophin gamma 2,5,Yes,14.860129282367232,15.685823146092243,16.347228203338457,14.368852469586992,13.888992700624586
C4orf19,chromosome 4 open reading frame 19,5,Yes,13.88654268722175,14.149741411697628,13.867146429194621,16.313916847686542,11.926815275424419
ATP11A,ATPase phospholipid transporting 11A,5,Yes,16.27296569603544,13.648773974052405,14.579681830923743,16.155199549869042,12.206363152386459
LOC124907095,uncharacterized LOC124907095,5,Yes,9.940420622050857,11.488315087009198,16.234619781008448,5.70223875898964,14.01546444729157
LOC124907366,uncharacterized LOC124907366,5,Yes,12.959708885778506,14.50272261618948,13.266071459492746,16.149502096572334,12.760879189386825
HLA-B,major histocompatibility complex%2C class I%2C B,5,Yes,15.47815901783564,15.990273132412652,15.318848194439708,15.465407695850741,15.746045120615314
SCNN1D,sodium channel epithelial 1 subunit delta,5,Yes,13.861828636377618,13.392380893839926,13.284915132104452,14.364019825661064,15.576838869810318
LOC124908150,,5,Yes,15.551133344978368,9.02432136004426,11.84831030033632,7.688636814667929,13.113844593196227
SDK1,sidekick cell adhesion molecule 1,5,Yes,15.064030294540233,15.32863226344995,15.350233710580047,15.382314572186665,15.253391134251688
SOD2,superoxide dismutase 2,5,Yes,14.026831822405592,14.311921255315566,14.63756537126698,15.244818061196003,14.810195780366856
DOCK1,dedicator of cytokinesis 1,5,Yes,14.763963133613956,15.238927282473083,14.804832571714316,14.506566707014247,14.633730784142521
LOC105371430,uncharacterized LOC105371430,5,Yes,14.314187413931913,15.199678675677415,14.865191394872708,14.703314798878575,14.624071901645607
LRRC27,leucine rich repeat containing 27,5,Yes,14.5170705877574,15.165564510443023,14.140760125429471,10.219857080884989,15.187365003966436
SKI,SKI proto-oncogene,5,Yes,12.995072474715633,15.095688482219419,11.532544927889752,12.921476669329135,13.873292440518757
RFLNB,refilin B,5,Yes,14.125648436385193,15.016465530018644,12.066767052820458,12.234901046538253,13.923457010965027
PCBP3,poly(rC) binding protein 3,5,Yes,13.434841123527468,13.755417230914585,14.212844999029539,14.767287845614414,14.2424930640171
LOC124904993,uncharacterized LOC124904993,5,Yes,14.723688287122496,9.080819091231664,9.558406708007473,10.805708246989733,12.736890405219697
LOC124903820,uncharacterized LOC124903820,5,Yes,14.65634528011558,11.33653903697936,12.43251280965502,8.054263268612958,9.305633332735079
GRTP1,growth hormone regulated TBC protein 1,5,Yes,6.5655087972700175,8.742940794321045,11.489742696958526,14.462653555262484,10.395102958888414
LOC124905349,uncharacterized LOC124905349,5,Yes,14.158389197491728,12.670635348920092,13.310078989305625,12.41793572096313,14.385921221787564
CFAP97D2,CFAP97 domain containing 2,5,Yes,12.521696192726248,14.19535487075114,11.891962154810226,12.93975217257277,13.813404591011047
BRF1,BRF1 RNA polymerase III transcription initiation factor subunit,5,Yes,13.911170294135498,12.04555421086892,14.123085536926464,13.773092407803043,12.897837072034454
FOXP1,forkhead box P1,5,Yes,11.830246606163962,13.920613531877864,10.707603117314322,9.658890666322954,14.082885543237419
HLA-C,major histocompatibility complex%2C class I%2C C,5,Yes,13.470442398518335,13.518282698993227,13.433318580160565,13.698426620009236,14.007539302838511
HCG4P5,,5,Yes,13.92384171525682,11.205846427826543,13.553016191727258,13.44977881124695,13.847285342086789
HLA-A,major histocompatibility complex%2C class I%2C A,5,Yes,13.575076010396955,10.987294184619806,13.063386587047821,13.258977383111576,13.843763047649652
TP73,tumor protein p73,5,Yes,13.84249902705501,12.296025556549512,13.390967580837362,11.39625084592022,13.488727889773488
MEGF6,multiple EGF like domains 6,5,Yes,13.72641270761463,10.762434854065042,11.82657797015175,9.859131553179266,10.993731939749773
LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,5,Yes,11.615388842539726,11.199807376805342,11.194958000521762,13.69472888686683,11.878320286444138
LOC100507412,uncharacterized LOC100507412,5,Yes,13.680922233549556,9.38512201447706,8.822136448489044,11.675541736711514,12.069844145538418
FOXK2,forkhead box K2,5,Yes,12.794397834456756,13.226897089880167,13.283339202674876,12.435545280963934,13.599117732932674
DCDC2C,doublecortin domain containing 2C,5,Yes,13.529711912288057,10.55918665578369,12.291784488000244,6.360696454604982,11.00163675913955
LOC124906389,uncharacterized LOC124906389,5,Yes,13.155980241254056,11.763333035912584,13.259145856411436,12.735323050415778,13.475287977619693
LOC124907539,uncharacterized LOC124907539,5,Yes,12.32955460148319,11.992193465694404,7.239882688014568,7.368499480029863,13.41286195603217
LOC124906387,uncharacterized LOC124906387,5,Yes,13.002703532168002,8.948015100875153,12.655088430455839,13.384973528351512,12.41339603356357
LOC124906540,uncharacterized LOC124906540,5,Yes,13.373113763893752,12.26329732014697,11.263837170296165,9.999445600544103,9.255434975436632
LINC01115,long intergenic non-protein coding RNA 1115,5,Yes,11.008838203920975,13.070258612690452,10.474288706012741,13.21684024280337,12.154204715363786
NBPF10,NBPF member 10,5,Yes,10.903954354211432,13.194298951470318,10.964108978487692,13.012589402095518,13.1987094428961
SLC12A7,solute carrier family 12 member 7,5,Yes,11.150422099922787,12.170499217111011,12.778248950359913,12.91670877033017,13.106449504949746
LOC105373346,uncharacterized LOC105373346,5,Yes,12.274250083887727,12.967248737252818,12.58295146525288,12.649116502049173,11.810042293694838
COL23A1,collagen type XXIII alpha 1 chain,5,Yes,12.427661169052591,12.670356043021235,12.39841354076528,12.954055473410987,11.932177994128605
LOC124907564,,5,Yes,12.825607359197111,6.116099919590998,7.023348309839618,12.263496640735044,7.938969826221227
TERT,telomerase reverse transcriptase,5,Yes,10.530541633240464,8.5662202544893,12.81919968243724,8.885882596075952,11.264831510402205
CEP72,centrosomal protein 72,5,Yes,12.801458293359309,10.626275597355276,10.400886759854743,9.617622385137489,9.883194826066562
MUC4,mucin 4%2C cell surface associated,5,Yes,7.412524693653187,11.108105413216618,8.109574345420851,12.77693659201426,10.090512080169871
LMF1,lipase maturation factor 1,5,Yes,11.651362965642347,12.695310571879208,11.752372987613962,12.00375606474512,12.736581492589043
CROCC2,ciliary rootlet coiled-coil%2C rootletin family member 2,5,Yes,11.89401137689077,10.321262914790212,12.66207031359548,10.603608725042962,11.214976967887347
LOC124908435,,5,Yes,11.050073669364458,12.612055932546562,10.239560275883017,9.609056495080933,10.81177363338419
TMEM88B,transmembrane protein 88B,5,Yes,10.952161512555701,12.551341249692383,9.439973075556189,11.11760019666902,9.676297196959993
IGK,immunoglobulin kappa locus,5,Yes,12.508160535673534,10.979211306656122,10.290998240452911,8.363183809711105,9.118078359311959
ATP10A,ATPase phospholipid transporting 10A (putative),5,Yes,10.447726616199933,12.121289963921352,12.50096876446387,10.428423850074108,11.56890225785021
EIF3B,eukaryotic translation initiation factor 3 subunit B,5,Yes,12.328769245276513,11.107840108456024,11.315979733908797,10.724842241927162,10.885185614008005
ABR,ABR activator of RhoGEF and GTPase,5,Yes,11.656490570906744,12.061636092231243,11.78907422672696,12.266724390082311,11.55764763504358
GAS6-AS1,GAS6 antisense RNA 1,5,Yes,11.546103421441549,10.551913432777976,12.141201260766525,10.613171118528472,9.243712369102711
CDH4,cadherin 4,5,Yes,10.85648990940118,12.08996499198722,10.935344910580183,10.147564809730078,11.027671239673952
OR7M1P,,5,Yes,12.060848189663506,12.026243001782513,11.605262622982446,11.671011191713504,11.666465154069604
ZNF124,zinc finger protein 124,5,Yes,8.93245194584922,10.119587087225542,10.167336279652831,12.038360684578208,9.878051167600722
PHRF1,PHD and ring finger domains 1,5,Yes,11.865279596475258,11.886518224763648,10.531573394942608,10.957072515500178,10.49147973741722
ZNF175,zinc finger protein 175,5,Yes,7.099335337292491,9.372789389186298,9.145474466778424,11.73501489824852,9.62296613198667
CCDC6,coiled-coil domain containing 6,5,Yes,8.465451227256914,9.18597292009009,8.557120099132131,11.701530289921394,7.456515976876573
HLA-U,,5,Yes,10.259950597620545,11.063342807033251,10.901065255189163,11.686005864929461,11.569615209193158
RBFADN,RBFA downstream neighbor,5,Yes,11.509662331699111,9.189517967418569,9.443469858854066,8.185497721807351,9.112536289875033
MUC22,mucin 22,5,Yes,9.554014565705785,11.082587588768437,10.92996366291415,11.47860252074246,10.632701075046821
LOC124908151,,5,Yes,5.227515067408091,11.462149024681331,5.217879905814156,5.371582291986489,7.498938433654145
LOC124906652,,5,Yes,11.331934467842775,11.369151533027276,11.293849988699433,11.10227769439593,11.240838879439673
DPEP1,dipeptidase 1,5,Yes,9.075149677388564,11.356345272450044,8.55661345995009,8.478476238023054,10.40392045935145
LOC124907367,,5,Yes,11.32283492089064,9.947739114833517,10.951720268763102,9.901230159194071,4.062637364866068
INPP5A,inositol polyphosphate-5-phosphatase A,5,Yes,11.256662961033818,10.78217314882234,10.942146226002619,9.402060603116139,11.062595046989216
LOC105379499,uncharacterized LOC105379499,5,Yes,5.500017381536222,7.8573690629896475,6.029364424177888,11.225208533292614,10.163392955283657
LOC124906641,putative uncharacterized protein FLJ44672,5,Yes,11.147317391146549,11.20984935095741,10.716107768453297,10.119432857328787,9.486397715152895
LOC124906653,,5,Yes,11.208042230703137,11.113216218712452,11.115102612188632,10.927803512792392,11.19973853682759
RASA3,RAS p21 protein activator 3,5,Yes,11.186016056746961,9.207900724242869,9.798423696637373,9.024308830966234,10.784991644011395
LOC124907012,endogenous retrovirus group K member 7 Env polyprotein-like,5,Yes,8.999852700014214,9.694149151747066,11.157066163276587,5.592988267683608,9.728183069613541
SSH2,slingshot protein phosphatase 2,5,Yes,7.13779955199071,10.964312468748327,8.197220017311603,11.080146414191907,9.982702903483073
LOC124906651,,5,Yes,11.03305529031478,11.071003603119264,10.862911636328619,10.729843547819772,10.62910906786625
CLPTM1L,CLPTM1 like,5,Yes,9.720573652662967,10.69058438547239,11.059664285292657,10.997230467488729,11.045004086178459
HCG4B,HLA complex group 4B,5,Yes,10.158672685159027,10.005854581019854,10.422797981215297,11.031549768707242,11.055534569428012
