haplotype.name	haplotype.group
100000_CHM13.pri@CHM13#0#chr4:0-551545	HaploGroup1
120001_CN1.pat@CN1#1#chr4:146859914-147411428:0-551515	HaploGroup1
120002_CN1.mat@CN1#2#chr4:144930405-145481951:0-551547	HaploGroup1
120005_KSA001.pat@KSA001#1#chr4:145477279-146028828:0-551550	HaploGroup1
120006_KSA001.mat@KSA001#2#chr4:145077106-145628617:0-551512	HaploGroup1
120007_I002C.pat@I002C#1#chr4:145191128-145742706:0-551579	HaploGroup1
120008_I002C.mat@I002C#2#chr4:146322233-146873786:0-551554	HaploGroup1
120009_KOREF1.pat@KOREF1#1#chr4:147315500-147867050:0-551551	HaploGroup1
120010_KOREF1.mat@KOREF1#2#chr4:149317698-149869192:0-551495	HaploGroup1
120011_YAO.pat@YAO#1#chr4:0-551523	HaploGroup1
120012_YAO.mat@YAO#2#chr4:6-551468	HaploGroup1
200001_HG002.pat@HG002#1#chr4:145877688-146429156:0-551469	HaploGroup1
200002_HG002.mat@HG002#2#chr4:145087541-145639037:0-551497	HaploGroup1
200003_HG06807.pat@HG06807#1#CM101398.1:143803418-144355327:0-551910	HaploGroup1
200004_HG06807.mat@HG06807#2#CM101432.1:145798999-146350523:0-551525	HaploGroup1
200005_HG00408.pat@HG00408#1#JBHDVK010000012.1:147153952-147705376:0-551425	HaploGroup1
200006_HG00408.mat@HG00408#2#CM085967.1:144812866-145364403:0-551538	HaploGroup1
200007_HG00423.pat@HG00423#1#CM089399.1:146949019-147500574:0-551556	HaploGroup1
200008_HG00423.mat@HG00423#2#CM089415.1:144976088-145527512:0-551425	HaploGroup1
200009_HG00438.pat@HG00438#1#CM089170.1:144857152-145408733:0-551582	HaploGroup1
200010_HG00438.mat@HG00438#2#CM089189.1:147069540-147621080:0-551541	HaploGroup1
200011_HG00544.pat@HG00544#1#JBHIIM010000029.1:94990176-95541734:0-551559	HaploGroup1
200012_HG00544.mat@HG00544#2#JBHIIN010000039.1:93973118-94524684:0-551567	HaploGroup1
200013_HG00558.pat@HG00558#1#CM088493.1:146329100-146880675:0-551576	HaploGroup1
200014_HG00558.mat@HG00558#2#CM088522.1:146361693-146913190:0-551498	HaploGroup1
200015_HG00597.pat@HG00597#1#JBHDUU010000002.1:94404607-94956091:6-551485	HaploGroup1
200016_HG00597.mat@HG00597#2#CM085782.1:145880283-146431816:0-551534	HaploGroup1
200017_HG005.pat@HG005#1#JAHEPO020000009.1:140482112-141033637:0-551526	HaploGroup1
200018_HG005.mat@HG005#2#JAHEPN020000071.1:143464332-144015882:0-551551	HaploGroup1
200019_HG00609.pat@HG00609#1#CM086349.1:144952903-145504333:0-551431	HaploGroup1
200020_HG00609.mat@HG00609#2#CM086359.1:145811819-146363344:0-551526	HaploGroup1
200021_HG00621.pat@HG00621#1#CM087849.1:145334588-145886158:0-551571	HaploGroup1
200022_HG00621.mat@HG00621#2#CM087863.1:145517767-146069299:0-551533	HaploGroup1
200023_HG00639.pat@HG00639#1#CM088538.1:144351778-144903325:0-551548	HaploGroup1
200024_HG00639.mat@HG00639#2#CM088553.1:143924087-144475555:0-551469	HaploGroup1
200025_HG00642.pat@HG00642#1#JBHDST010000010.1:145383764-145935211:0-551448	HaploGroup1
200026_HG00642.mat@HG00642#2#CM086620.1:146241698-146793137:0-551440	HaploGroup1
200027_HG00658.pat@HG00658#1#JBHIHU010000067.1:94398006-94949558:0-551553	HaploGroup1
200028_HG00658.mat@HG00658#2#JBHIHV010000002.1:94046618-94598133:0-551516	HaploGroup1
200029_HG00673.pat@HG00673#1#CM089144.1:146728903-147280542:0-551640	HaploGroup1
200030_HG00673.mat@HG00673#2#CM089155.1:146762886-147314401:0-551516	HaploGroup1
200031_HG00706.pat@HG00706#1#CM100014.1:144680568-145232127:0-551560	HaploGroup1
200032_HG00706.mat@HG00706#2#CM100058.1:146010815-146562357:0-551543	HaploGroup1
200033_HG00733.pat@HG00733#1#JAHEPQ020000051.1:94212723-94764164:0-551442	HaploGroup1
200034_HG00733.mat@HG00733#2#JAHEPP020000052.1:93973122-94524626:0-551505	HaploGroup1
200035_HG00735.pat@HG00735#1#CM087877.1:145146158-145697618:0-551461	HaploGroup1
200036_HG00735.mat@HG00735#2#CM087886.1:146444236-146995740:0-551505	HaploGroup1
200037_HG00738.pat@HG00738#1#JBHDSX010000052.1:143678449-144229904:0-551456	HaploGroup1
200038_HG00738.mat@HG00738#2#CM086682.1:145725817-146277375:0-551559	HaploGroup1
200039_HG00741.pat@HG00741#1#JAHALY020000046.1:93806971-94358541:0-551571	HaploGroup1
200040_HG00741.mat@HG00741#2#JAHALX020000035.1:93573734-94125283:0-551550	HaploGroup1
200041_HG01071.pat@HG01071#1#CM089114.1:145257806-145809300:0-551495	HaploGroup1
200042_HG01071.mat@HG01071#2#CM089130.1:145219729-145771052:0-551324	HaploGroup1
200043_HG01074.pat@HG01074#1#JBHIHW010000015.1:94415921-94967445:0-551525	HaploGroup1
200044_HG01074.mat@HG01074#2#JBHIHX010000046.1:93179214-93730685:0-551472	HaploGroup1
200045_HG01081.pat@HG01081#1#JBHIHG010000001.1:93952988-94504516:0-551529	HaploGroup1
200046_HG01081.mat@HG01081#2#JBHIHH010000043.1:94294493-94846035:0-551543	HaploGroup1
200047_HG01099.pat@HG01099#1#JBHDRP010000002.1:94077203-94628695:0-551493	HaploGroup1
200048_HG01099.mat@HG01099#2#JBHDRQ010000049.1:94283008-94834426:0-551419	HaploGroup1
200049_HG01106.pat@HG01106#1#JAHAMC020000003.1:93354247-93905733:0-551487	HaploGroup1
200050_HG01106.mat@HG01106#2#JAHAMB020000011.1:93361734-93913135:0-551402	HaploGroup1
200051_HG01109.pat@HG01109#1#CM092086.1:143531271-144082752:0-551482	HaploGroup1
200052_HG01109.mat@HG01109#2#JAHEOZ020000001.1:92766624-93318020:0-551397	HaploGroup1
200053_HG01123.pat@HG01123#1#JAGYYZ020000017.1:93298727-93850175:0-551449	HaploGroup1
200054_HG01123.mat@HG01123#2#JAGYYY020000011.1:93424196-93975739:0-551544	HaploGroup1
200055_HG01150.pat@HG01150#1#JBHIHI010000072.1:94451233-95002726:0-551494	HaploGroup1
200056_HG01150.mat@HG01150#2#JBHIHJ010000006.1:93231184-93782706:0-551523	HaploGroup1
200057_HG01175.pat@HG01175#1#CM087923.1:144717231-145268690:0-551460	HaploGroup1
200058_HG01175.mat@HG01175#2#CM087938.1:145788142-146339541:0-551400	HaploGroup1
200059_HG01192.pat@HG01192#1#JBHDVI010000002.1:145811669-146363094:0-551426	HaploGroup1
200060_HG01192.mat@HG01192#2#CM085941.1:145926526-146478028:0-551503	HaploGroup1
200063_HG01252.pat@HG01252#1#JBHIHY010000011.1:99817891-100369317:0-551427	HaploGroup1
200064_HG01252.mat@HG01252#2#JBHIHZ010000001.1:94816529-95368037:0-551509	HaploGroup1
200065_HG01255.pat@HG01255#1#CM086705.1:145417947-145969464:0-551518	HaploGroup1
