chromosome,start,end,T_pooled_myr,genes,genes_renamed,descriptions,gene_biotypes,SRA_overlap_percent,tr_overlap_percent
chr12_hap1_hsa2a,119177000,119178000,20.00964095,ALLC,ALLC,allantoicase,protein_coding,22.9,0
chr19_hap1_hsa17,12122000,12123000,12.66823378,SCARF1,SCARF1,scavenger receptor class F member 1,protein_coding,26,2.9
chr1_hap1_hsa1,3705000,3706000,11.96469132,KIF26B,KIF26B,kinesin family member 26B,protein_coding,42.9,4.5
chr20_hap1_hsa19,55681000,55682000,11.45446267,ZNF28,ZNF28,zinc finger protein 28,protein_coding,46,0
chr15_hap1_hsa14,103314000,103315000,11.22358417,BRF1,BRF1,BRF1 RNA polymerase III transcription initiation factor subunit,protein_coding,21.2,0
chr5_hap1_hsa6,37159000,37160000,10.86598164,PATR-C,HLA-C,major histocompatibility complex%2C class I%2C C,protein_coding,45.2,0
chr19_hap1_hsa17,95903000,95904000,10.67952731,FOXK2,FOXK2,forkhead box K2,protein_coding,30.5,0
chr5_hap1_hsa6,35852000,35853000,10.28506526,PATR-A,PATR-A,patr class I histocompatibility antigen%2C A-126 alpha chain,protein_coding,24.7,3.1
chr20_hap1_hsa19,59150000,59151000,9.693968896,ZSCAN5C,ZSCAN5C,zinc finger and SCAN domain containing 5C,protein_coding,34.3,2.1
chr20_hap1_hsa19,57039000,57040000,9.256139337,LILRB3,LILRB3,leukocyte immunoglobulin like receptor B3,protein_coding,20.1,3.3
chr17_hap1_hsa18,87050000,87051000,9.208808202,MBP,MBP,myelin basic protein,protein_coding,71.1,2.1
chr18_hap1_hsa16,2784000,2785000,8.915523845,RAB11FIP3,RAB11FIP3,RAB11 family interacting protein 3,protein_coding,53.2,3.2
chr5_hap1_hsa6,38996000,38997000,8.869954704,LOC100610904,HLA-DPB1,HLA class II histocompatibility antigen%2C DP beta 1 chain-like,protein_coding,100,0
chr8_hap1_hsa10,14256000,14257000,8.853330434,ADARB2,ADARB2,adenosine deaminase RNA specific B2 (inactive),protein_coding,34.7,1.5
chr20_hap1_hsa19,56170000,56171000,8.771082386,ZNF845,ZNF845,zinc finger protein 845,protein_coding,29.5,3.4
chr1_hap1_hsa1,217111000,217112000,8.75671719,KAZN,KAZN,kazrin%2C periplakin interacting protein,protein_coding,100,0
chr7_hap1_hsa8,23866000,23867000,8.698358059,TUSC3,TUSC3,tumor suppressor candidate 3,protein_coding,100,0
chr7_hap1_hsa8,22927000,22928000,8.650346283,SGCZ,SGCZ,sarcoglycan zeta,protein_coding,32.4,1.8
chr20_hap1_hsa19,55778000,55779000,8.45194053,ZNF888,ZNF888,zinc finger protein 888,protein_coding,46.5,1.4
chr8_hap1_hsa10,144937000,144938000,8.449196346,INPP5A,INPP5A,inositol polyphosphate-5-phosphatase A,protein_coding,27.8,1.9
chr11_hap1_hsa9,97265000,97266000,8.40648394,ADAMTSL1,ADAMTSL1,ADAMTS like 1,protein_coding,21.2,1.1
chr4_hap1_hsa5,177595000,177596000,8.380853777,RASGEF1C,RASGEF1C,RasGEF domain family member 1C,protein_coding,27.8,0
chr6_hap1_hsa7,173146000,173147000,8.291707832,PTPRN2,PTPRN2,protein tyrosine phosphatase receptor type N2,protein_coding,43.2,0
chr5_hap1_hsa6,36937000,36938000,8.26359447,LOC462552,HCG22 ,protein PBMUCL2,protein_coding,99.4,3
chr10_hap1_hsa12,136657000,136658000,8.217939473,TMEM132D,TMEM132D,transmembrane protein 132D,protein_coding,48.5,1.2
chr23_hap1_hsa22,48857000,48858000,8.008346616,TBC1D22A,TBC1D22A,TBC1 domain family member 22A,protein_coding,33.3,1.2
chr20_hap1_hsa19,59175000,59176000,8.001875086,ZSCAN5A,ZSCAN5A,zinc finger and SCAN domain containing 5A,protein_coding,21.4,1.8
chr19_hap1_hsa17,96110000,96111000,7.961074915,FN3K,FN3K,fructosamine 3 kinase,protein_coding,67.8,0
chr5_hap1_hsa6,37245000,37246000,7.9494157,PATR-B,HLA-B,major histocompatibility complex%2C class I%2C B,protein_coding,49.3,1.5
chr4_hap1_hsa5,178394000,178395000,7.879254753,BTNL8,BTNL8,butyrophilin like 8,protein_coding,25.3,3
chr8_hap1_hsa10,139431000,139432000,7.848339183,DOCK1,DOCK1,dedicator of cytokinesis 1,protein_coding,75.6,2.5
chr11_hap1_hsa9,115597000,115598000,7.847365304,DOCK8,DOCK8,dedicator of cytokinesis 8,protein_coding,87.4,3.8
chr10_hap1_hsa12,138617000,138618000,7.657206396,SFSWAP,SFSWAP,splicing factor SWAP,protein_coding,24.9,0
