chromosome,start,end,T_pooled_myr,genes,genes_renamed,descriptions,gene_biotypes,SRA_overlap_percent,tr_overlap_percent
chr10_hap1_hsa12,137200000,137201000,26.37474836,PIWIL1,PIWIL1,piwi like RNA-mediated gene silencing 1,protein_coding,0,100
chr7_hap1_hsa8,154645000,154646000,23.70413915,BOP1,BOP1,BOP1 ribosomal biogenesis factor,protein_coding,0,100
chr7_hap1_hsa8,7945000,7946000,23.69095406,DLGAP2,DLGAP2,DLG associated protein 2,protein_coding,0,100
chr5_hap1_hsa6,7815000,7816000,23.13194454,GMDS,GMDS,GDP-mannose 4%2C6-dehydratase,protein_coding,0,100
chr1_hap1_hsa1,3154000,3155000,22.14168254,SMYD3,SMYD3,SET and MYND domain containing 3,protein_coding,0,100
chr12_hap1_hsa2a,119176000,119177000,21.85705889,ALLC,ALLC,allantoicase,protein_coding,0,0
chr10_hap1_hsa12,8476000,8477000,21.70134432,ERC1,ERC1,ELKS/RAB6-interacting/CAST family member 1,protein_coding,0,100
chr1_hap1_hsa1,3704000,3705000,21.25916435,KIF26B,KIF26B,kinesin family member 26B,protein_coding,0,100
chr9_hap1_hsa11,4967000,4968000,20.47362033,TALDO1,TALDO1,transaldolase 1,protein_coding,14,1.5
chr6_hap1_hsa7,7968000,7969000,20.18926383,MAD1L1,MAD1L1,mitotic arrest deficient 1 like 1,protein_coding,0,100
chr17_hap1_hsa18,87051000,87052000,20.13377676,MBP,MBP,myelin basic protein,protein_coding,34.4,65.5
chr20_hap1_hsa19,58797000,58798000,19.7628871,NLRP4,NLRP4,NLR family pyrin domain containing 4,protein_coding,0,100
chr10_hap1_hsa12,139699000,139700000,18.67384987,GOLGA3,GOLGA3,golgin A3,protein_coding,0,100
chr19_hap1_hsa17,95904000,95905000,18.34014641,FOXK2,FOXK2,forkhead box K2,protein_coding,2.9,0.7
chr6_hap1_hsa7,173206000,173207000,17.79939641,PTPRN2,PTPRN2,protein tyrosine phosphatase receptor type N2,protein_coding,0,100
chr9_hap1_hsa11,135898000,135899000,17.72326701,IGSF9B,IGSF9B,immunoglobulin superfamily member 9B,protein_coding,0,100
chr3_hap1_hsa4,1099000,1100000,17.04059895,PCGF3,PCGF3,polycomb group ring finger 3,protein_coding,0,100
chr5_hap1_hsa6,180674000,180675000,16.99977193,SMOC2,SMOC2,SPARC related modular calcium binding 2,protein_coding,0,100
chr18_hap1_hsa16,2407000,2408000,16.41780185,MPG,MPG,N-methylpurine DNA glycosylase,protein_coding,0,100
chr20_hap1_hsa19,57621000,57622000,16.21320093,KIR3DL5,KIR3DL5,killer cell immunoglobulin-like receptor,protein_coding,0,1.5
chr11_hap1_hsa9,871000,872000,16.11749414,DPH7,DPH7,diphthamide biosynthesis 7,protein_coding,0,100
chr8_hap1_hsa10,144782000,144783000,16.1104789,INPP5A,INPP5A,inositol polyphosphate-5-phosphatase A,protein_coding,0,100
chr10_hap1_hsa12,9122000,9123000,16.09176667,DCP1B,DCP1B,decapping mRNA 1B,protein_coding,0,100
chr20_hap1_hsa19,57562000,57563000,15.98328315,LOC100608180,LILRB3,leukocyte immunoglobulin-like receptor subfamily B member 3-like,protein_coding,0,0
chr8_hap1_hsa10,14259000,14260000,15.95013955,ADARB2,ADARB2,adenosine deaminase RNA specific B2 (inactive),protein_coding,0,0
chr20_hap1_hsa19,58584000,58585000,15.72647771,NLRP9,NLRP9,NLR family pyrin domain containing 9,protein_coding,0,3.9
chr11_hap1_hsa9,849000,850000,15.41823829,ZMYND19,ZMYND19,zinc finger MYND-type containing 19,protein_coding,0,100
chr22_hap1_hsa21,45819000,45820000,15.27187196,ADARB1,ADARB1,adenosine deaminase RNA specific B1,protein_coding,4.8,98
chr2_hap1_hsa3,201082000,201083000,14.98218296,IQCG,IQCG,IQ motif containing G,protein_coding,0,100
chr20_hap1_hsa19,59676000,59677000,14.88729659,LOC104003467,OR1L4,olfactory receptor 1L4-like,protein_coding,29.4,72.8
chr18_hap1_hsa16,72024000,72025000,14.62924458,MTSS2,MTSS2,MTSS I-BAR domain containing 2,protein_coding,5.4,75
chr17_hap1_hsa18,89940000,89941000,14.54264164,KCNG2,KCNG2,potassium voltage-gated channel modifier subfamily G member 2,protein_coding,0,100
chr3_hap1_hsa4,1431000,1432000,14.31318252,RNF212,RNF212,ring finger protein 212,protein_coding,2.4,98.8
chr9_hap1_hsa11,136332000,136333000,14.23189393,B3GAT1,B3GAT1,beta-1%2C3-glucuronyltransferase 1,protein_coding,0,100
chr9_hap1_hsa11,136332000,136333000,14.23189393,GLB1L2,GLB1L2,galactosidase beta 1 like 2,protein_coding,0,100
chr4_hap1_hsa5,176606000,176607000,14.19128065,ADAMTS2,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,protein_coding,0,100
chr7_hap1_hsa8,155595000,155596000,14.05993682,LOC129135418,METRNL,meteorin-like protein,protein_coding,0,100
chr6_hap1_hsa7,174060000,174061000,13.82500704,DYNC2I1,DYNC2I1,dynein 2 intermediate chain 1,protein_coding,0,100
chr7_hap1_hsa8,152718000,152719000,13.80513101,TSNARE1,TSNARE1,t-SNARE domain containing 1,protein_coding,0,100
chr18_hap1_hsa16,88224000,88225000,13.67429023,DBNDD1,DBNDD1,dysbindin domain containing 1,protein_coding,0,99.2
chr10_hap1_hsa12,139592000,139593000,13.54668652,PXMP2,PXMP2,peroxisomal membrane protein 2,protein_coding,0,0
chr19_hap1_hsa17,96646000,96647000,13.38975078,LOC112207721,MALRD2,MAM and LDL-receptor class A domain-containing protein 2-like,protein_coding,0,0
chr10_hap1_hsa12,7283000,7284000,13.37009039,SLC6A12,SLC6A12,solute carrier family 6 member 12,protein_coding,0,100
chr19_hap1_hsa17,95511000,95512000,13.31605307,CCDC57,CCDC57,coiled-coil domain containing 57,protein_coding,0,100
chr6_hap1_hsa7,166416000,166417000,13.31532857,WDR86,WDR86,WD repeat domain 86,protein_coding,0,0
chr10_hap1_hsa12,138618000,138619000,13.24461382,SFSWAP,SFSWAP,splicing factor SWAP,protein_coding,0,9
chr6_hap1_hsa7,173895000,173896000,13.24266714,ESYT2,ESYT2,extended synaptotagmin 2,protein_coding,30.8,73.3
chr8_hap1_hsa10,13996000,13997000,13.21084931,WDR37,WDR37,WD repeat domain 37,protein_coding,0,100
chr11_hap1_hsa9,2604000,2605000,13.18121424,CAMSAP1,CAMSAP1,calmodulin regulated spectrin associated protein 1,protein_coding,0,0
chr19_hap1_hsa17,11556000,11557000,12.99644435,ABR,ABR,ABR activator of RhoGEF and GTPase,protein_coding,0,100
chr18_hap1_hsa16,3599000,3600000,12.9869723,CACNA1H,CACNA1H,calcium voltage-gated channel subunit alpha1 H,protein_coding,0,100
chr2_hap1_hsa3,103929000,103930000,12.89338706,ADGRG7,ADGRG7,adhesion G protein-coupled receptor G7,protein_coding,0,0
chr12_hap1_hsa2a,119425000,119426000,12.84069618,TRAPPC12,TRAPPC12,trafficking protein particle complex subunit 12,protein_coding,0,100
chr9_hap1_hsa11,8489000,8490000,12.82494214,LOC112204800,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,protein_coding,0,0
chr19_hap1_hsa17,12122000,12123000,12.66823378,SCARF1,SCARF1,scavenger receptor class F member 1,protein_coding,26,2.9
chr4_hap1_hsa5,1993000,1994000,12.61218192,CLPTM1L,CLPTM1L,CLPTM1 like,protein_coding,0,100
chr14_hap1_hsa13,119698000,119699000,12.59657539,RASA3,RASA3,RAS p21 protein activator 3,protein_coding,0,1.8
chr6_hap1_hsa7,6817000,6818000,12.52336187,GET4,GET4,guided entry of tail-anchored proteins factor 4,protein_coding,0,100
chr5_hap1_hsa6,180039000,180040000,12.4621081,KIF25,KIF25,kinesin family member 25,protein_coding,0,100
chr13_hap1_hsa2b,142897000,142898000,12.38195647,GPR35,GPR35,G protein-coupled receptor 35,protein_coding,0,100
chr10_hap1_hsa12,139635000,139636000,12.3726788,ANKLE2,ANKLE2,ankyrin repeat and LEM domain containing 2,protein_coding,4.4,82.3
