id	common_name	allele_count	sample_size	impact	gene	feature	consequence	chrom	pos	end	svtype	svlen	total_allele_count	allele_frequency	type_simplified
Sniffles2.DEL.102CM16	Western	0	15	HIGH	LOC112204803,LOC134807289,LOC134807290	XM_054661941.2,XM_063783549.1,XM_063783550.1	transcript_ablation	chr9_hap1_hsa11	8434500	8484237	DEL	-49737	2	0.04166666666666666	Non-repeat
Sniffles2.DEL.102CM16	Western x Central	0	4	HIGH	LOC112204803,LOC134807289,LOC134807290	XM_054661941.2,XM_063783549.1,XM_063783550.1	transcript_ablation	chr9_hap1_hsa11	8434500	8484237	DEL	-49737	2	0.04166666666666666	Non-repeat
Sniffles2.DEL.102CM16	Central	0	2	HIGH	LOC112204803,LOC134807289,LOC134807290	XM_054661941.2,XM_063783549.1,XM_063783550.1	transcript_ablation	chr9_hap1_hsa11	8434500	8484237	DEL	-49737	2	0.04166666666666666	Non-repeat
Sniffles2.DEL.102CM16	Eastern	2	3	HIGH	LOC112204803,LOC134807289,LOC134807290	XM_054661941.2,XM_063783549.1,XM_063783550.1	transcript_ablation	chr9_hap1_hsa11	8434500	8484237	DEL	-49737	2	0.04166666666666666	Non-repeat
Sniffles2.DEL.105EM16	Western	0	15	HIGH	LOC748584	XR_682948.4	feature_truncation,non_coding_transcript_exon_variant	chr9_hap1_hsa11	9375167	9375292	DEL	-125	5	0.10416666666666669	Non-repeat
Sniffles2.DEL.105EM16	Western x Central	0	4	HIGH	LOC748584	XR_682948.4	feature_truncation,non_coding_transcript_exon_variant	chr9_hap1_hsa11	9375167	9375292	DEL	-125	5	0.10416666666666669	Non-repeat
Sniffles2.DEL.105EM16	Central	1	2	HIGH	LOC748584	XR_682948.4	feature_truncation,non_coding_transcript_exon_variant	chr9_hap1_hsa11	9375167	9375292	DEL	-125	5	0.10416666666666669	Non-repeat
Sniffles2.DEL.105EM16	Eastern	4	3	HIGH	LOC748584	XR_682948.4	feature_truncation,non_coding_transcript_exon_variant	chr9_hap1_hsa11	9375167	9375292	DEL	-125	5	0.10416666666666669	Non-repeat
Sniffles2.DEL.105M11	Western	1	15	HIGH	SDHA	XM_016952864.4,XM_063811026.1	stop_lost,feature_truncation,coding_sequence_variant,3_prime_UTR_variant,intron_variant	chr4_hap1_hsa5	983684	986042	DEL	-2358	1	0.02083333333333333	Non-repeat
Sniffles2.DEL.105M11	Western x Central	0	4	HIGH	SDHA	XM_016952864.4,XM_063811026.1	stop_lost,feature_truncation,coding_sequence_variant,3_prime_UTR_variant,intron_variant	chr4_hap1_hsa5	983684	986042	DEL	-2358	1	0.02083333333333333	Non-repeat
Sniffles2.DEL.105M11	Central	0	2	HIGH	SDHA	XM_016952864.4,XM_063811026.1	stop_lost,feature_truncation,coding_sequence_variant,3_prime_UTR_variant,intron_variant	chr4_hap1_hsa5	983684	986042	DEL	-2358	1	0.02083333333333333	Non-repeat
Sniffles2.DEL.105M11	Eastern	0	3	HIGH	SDHA	XM_016952864.4,XM_063811026.1	stop_lost,feature_truncation,coding_sequence_variant,3_prime_UTR_variant,intron_variant	chr4_hap1_hsa5	983684	986042	DEL	-2358	1	0.02083333333333333	Non-repeat
Sniffles2.DEL.109FM16	Western	1	15	HIGH	LOC129136403	XR_008537961.2	feature_truncation,non_coding_transcript_exon_variant	chr9_hap1_hsa11	11084130	11084210	DEL	-80	1	0.02083333333333333	LINE/L1
Sniffles2.DEL.109FM16	Western x Central	0	4	HIGH	LOC129136403	XR_008537961.2	feature_truncation,non_coding_transcript_exon_variant	chr9_hap1_hsa11	11084130	11084210	DEL	-80	1	0.02083333333333333	LINE/L1
Sniffles2.DEL.109FM16	Central	0	2	HIGH	LOC129136403	XR_008537961.2	feature_truncation,non_coding_transcript_exon_variant	chr9_hap1_hsa11	11084130	11084210	DEL	-80	1	0.02083333333333333	LINE/L1
Sniffles2.DEL.109FM16	Eastern	0	3	HIGH	LOC129136403	XR_008537961.2	feature_truncation,non_coding_transcript_exon_variant	chr9_hap1_hsa11	11084130	11084210	DEL	-80	1	0.02083333333333333	LINE/L1
Sniffles2.DEL.113FM13	Western	1	15	HIGH	LOC104008153	XR_010158746.1,XR_010158747.1	feature_truncation,non_coding_transcript_exon_variant,intron_variant	chr6_hap1_hsa7	5901776	5902168	DEL	-392	2	0.04166666666666666	SINE/Alu
Sniffles2.DEL.113FM13	Western x Central	0	4	HIGH	LOC104008153	XR_010158746.1,XR_010158747.1	feature_truncation,non_coding_transcript_exon_variant,intron_variant	chr6_hap1_hsa7	5901776	5902168	DEL	-392	2	0.04166666666666666	SINE/Alu
Sniffles2.DEL.113FM13	Central	0	2	HIGH	LOC104008153	XR_010158746.1,XR_010158747.1	feature_truncation,non_coding_transcript_exon_variant,intron_variant	chr6_hap1_hsa7	5901776	5902168	DEL	-392	2	0.04166666666666666	SINE/Alu
Sniffles2.DEL.113FM13	Eastern	1	3	HIGH	LOC104008153	XR_010158746.1,XR_010158747.1	feature_truncation,non_coding_transcript_exon_variant,intron_variant	chr6_hap1_hsa7	5901776	5902168	DEL	-392	2	0.04166666666666666	SINE/Alu
Sniffles2.DEL.1165ME	Western	3	15	HIGH	LOC107971456	XR_002941958.3	feature_truncation,non_coding_transcript_exon_variant	chr23_hap1_hsa22	13099227	13099301	DEL	-74	3	0.0625	Simple/tandem repeat
Sniffles2.DEL.1165ME	Western x Central	0	4	HIGH	LOC107971456	XR_002941958.3	feature_truncation,non_coding_transcript_exon_variant	chr23_hap1_hsa22	13099227	13099301	DEL	-74	3	0.0625	Simple/tandem repeat
Sniffles2.DEL.1165ME	Central	0	2	HIGH	LOC107971456	XR_002941958.3	feature_truncation,non_coding_transcript_exon_variant	chr23_hap1_hsa22	13099227	13099301	DEL	-74	3	0.0625	Simple/tandem repeat
