species,gene,id,feature,consequence,chrom,pos,end,svtype,svlen,total_allele_count,allele_frequency,type_simplified
bonobo,ACYP2,svim_asm.18305,"XM_003830833.7,XM_034953143.3,XM_055107941.2","splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant",chr12_mat_hsa2a,72209334,72229669,DEL,-20335,8,0.8,Non-repeat
bonobo,ARSH,svim_asm.151747,XM_034951350.3,"splice_acceptor_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant",chrX_mat_hsaX,2772678,2851827,DEL,-79149,1,0.1,Non-repeat
bonobo,CCDC77,Sniffles2.DEL.523M9,"XM_034935079.3,XM_034935081.3,XM_034935082.3,XM_034935084.3,XM_034935085.3,XM_034935086.3,XM_034935087.3,XM_034935088.3,XM_034935089.3,XM_034935092.3,XM_034935095.3,XM_034935096.3,XM_034935097.3,XM_034935098.3,XM_034935100.3,XM_055095213.2,XM_055095214.2,XM_063593254.1,XM_063593255.1,XM_063593256.1,XM_063593257.1,XM_063593258.1,XM_063593260.1","feature_truncation,coding_sequence_variant,intron_variant",chr10_mat_hsa12,5904297,5906552,DEL,-2255,2,0.2,Non-repeat
bonobo,DDT,svim_asm.93066,XM_008961982.5,"splice_acceptor_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant",chr23_pat_hsa22,33699054,33702045,INV,2991,2,0.2,NA
bonobo,DPEP2NB,svim_asm.50565,XM_034940506.3,transcript_amplification,chr18_pat_hsa16,77537193,77567424,DUP,30232,1,0.1,NA
bonobo,FAM47E,Sniffles2.DEL.46BM2,"XM_008957691.4,XM_008957692.6,XM_008957694.4,XM_034958624.3,XM_055111403.2","feature_truncation,5_prime_UTR_variant",chr3_pat_hsa4,53815906,53817913,DEL,-2007,1,0.1,Retroposon/SVA
bonobo,FCGBP,svim_asm.74180,"XM_055103614.2,XM_055103615.2,XM_063600264.1,XM_063600265.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr20_pat_hsa19,46123704,46141126,DEL,-17422,5,0.5,Non-repeat
bonobo,GLB1L2,Sniffles2.DEL.9FCM8,XM_034934092.3,"feature_truncation,coding_sequence_variant,intron_variant",chr9_pat_hsa11,135093064,135094185,DEL,-1121,4,0.4,Non-repeat
bonobo,GRAP,svim_asm.62563,XM_055101190.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant",chr19_pat_hsa17,54101893,54191861,DEL,-89968,1,0.1,Non-repeat
bonobo,GSTM1,svim_asm.67430,"NM_001367588.1,XM_055113616.2,XM_055113939.2",transcript_ablation,chr1_pat_hsa1,117343004,117361471,DEL,-18467,1,0.1,Non-repeat
