genes,descriptions,num_populations,is_shared,EUR,SAS,EAS,AMR,AFR
IGH,immunoglobulin heavy locus,4,Yes,NA,9.874724423182798,5.340799819897892,2.9403681071144536,2.229763989052018
IGK,immunoglobulin kappa locus,3,Yes,74.01711388328253,NA,4.564281836396777,2.662360560140121,NA
ZNF407,zinc finger protein 407,3,Yes,NA,22.86784253026148,4.216808120536848,2.411182269748948,NA
BAGE2,,3,Yes,21.428756300549185,13.623183534488415,NA,2.807984312129844,NA
CNTNAP3,contactin associated protein family member 3,3,Yes,19.65978835293804,7.033983473838494,NA,NA,1.772062151266103
PTPRD,protein tyrosine phosphatase receptor type D,3,Yes,14.567379314330957,19.52470142032045,NA,NA,1.4661227304486146
CCDC178,coiled-coil domain containing 178,3,Yes,9.780416766796504,15.081980082036193,NA,NA,1.3950220207821422
ZNF704,zinc finger protein 704,3,Yes,12.237518011015672,11.62751311601314,NA,2.531329987099063,NA
MTND6P19,,3,Yes,9.173848111599508,10.886789129821588,NA,7.014779024052304,NA
HMCN1,hemicentin 1,3,Yes,9.644687918586063,8.478565978485653,6.882836655778231,NA,NA
KCNH7,potassium voltage-gated channel subfamily H member 7,3,Yes,8.077448535868145,9.540676568300269,NA,2.378779136481972,NA
RNU6-533P,,3,Yes,7.849383270170931,9.376961081062335,NA,6.120195675630332,NA
RBFOX1,RNA binding fox-1 homolog 1,3,Yes,8.370543768393041,8.888638860132376,NA,NA,1.4537782220273647
THOC5,THO complex subunit 5,3,Yes,NA,8.621533505356295,4.308650187284646,NA,1.485688708385635
LOC107986324,uncharacterized LOC107986324,3,Yes,8.573421729695518,NA,NA,2.255876952338176,1.4314393463368378
CNTNAP2,contactin associated protein 2,3,Yes,NA,NA,4.446178900159087,2.9628119249917644,1.4333263147841508
PDE4DIP,phosphodiesterase 4D interacting protein,3,Yes,NA,NA,3.8578957358296617,3.1431317754643544,1.6651410280392114
HLA-DQB1,major histocompatibility complex%2C class II%2C DQ beta 1,2,Yes,18.45760722336284,NA,NA,NA,1.4964167956136665
TNR,tenascin R,2,Yes,8.760760278649293,18.23901587378213,NA,NA,NA
DPP6,dipeptidyl peptidase like 6,2,Yes,NA,17.898885760930238,5.111247682265996,NA,NA
STARD13,StAR related lipid transfer domain containing 13,2,Yes,NA,17.068569211885716,NA,2.376190854706977,NA
NRXN3,neurexin 3,2,Yes,16.00787658732035,NA,NA,NA,1.4204006660296489
OFCC1,,2,Yes,NA,15.201299488554977,NA,NA,1.9809767639196816
ATP10B,ATPase phospholipid transporting 10B (putative),2,Yes,NA,14.968312162529305,NA,NA,1.5840805059090484
GPAT2,glycerol-3-phosphate acyltransferase 2%2C mitochondrial,2,Yes,14.746446473190153,NA,NA,NA,1.775233127836014
RASA3,RAS p21 protein activator 3,2,Yes,14.66247236017312,9.555656211947795,NA,NA,NA
IFT52,intraflagellar transport 52,2,Yes,14.640937525518302,7.521816750136264,NA,NA,NA
BACH2,BTB domain and CNC homolog 2,2,Yes,12.737553316175662,NA,NA,NA,1.4775863758369283
GLI2,GLI family zinc finger 2,2,Yes,10.61363678983025,12.707277883074148,NA,NA,NA
LOC105371348,uncharacterized LOC105371348,2,Yes,12.360859950160672,NA,NA,2.561389135668195,NA
LINC02698,long intergenic non-protein coding RNA 2698,2,Yes,12.26581069223414,NA,NA,NA,1.41952497499028
