genes,descriptions,num_populations,is_shared,EAS,EUR,AFR,SAS,AMR
SMYD3,SET and MYND domain containing 3,5,Yes,23.331180940046085,20.337755748269988,22.933359658792856,21.43655804423699,20.157121989666432
ADGRA1,adhesion G protein-coupled receptor A1,5,Yes,19.370769731254402,23.145841165662706,20.575309327561918,20.63972489233801,22.119604964970957
CYP4F11,cytochrome P450 family 4 subfamily F member 11,5,Yes,19.262646361947986,18.00111618728492,15.998356060992505,22.163470590508105,15.851658409848103
MICAL3,microtubule associated monooxygenase%2C calponin and LIM domain containing 3,5,Yes,21.339381838074885,22.13367884393369,20.94698248121451,18.82326879668628,20.725247710400442
ADARB2,adenosine deaminase RNA specific B2 (inactive),5,Yes,21.074986443595055,21.49803691696057,21.134728343352965,20.182553526077566,21.371062417752952
SLC6A3,solute carrier family 6 member 3,5,Yes,20.175664656405626,18.877029278887612,19.941017952748474,19.615996138882267,19.207738858246664
NXN,nucleoredoxin,5,Yes,17.70224062592882,15.3695003414229,17.717701778259887,18.799878856774452,17.165016547850207
ATP9B,ATPase phospholipid transporting 9B (putative),5,Yes,18.102726977102407,18.389581232677507,18.385186219368524,17.463756073808725,18.112893817284817
EML1,EMAP like 1,5,Yes,16.37116605536158,14.96751626198249,17.980403637478393,5.302836724014672,16.819301999126044
DIP2C,disco interacting protein 2 homolog C,5,Yes,17.976057692117504,16.906167462342754,15.604284619997678,16.5835611145699,15.888221630464821
RAB11FIP3,RAB11 family interacting protein 3,5,Yes,17.38603958076601,14.675255038843655,16.17861260173783,14.237246640018896,15.917699401212177
MROH5,,5,Yes,16.834783809624323,15.445428700489927,16.554482027019386,16.65516319133744,16.00906421508148
C4orf19,chromosome 4 open reading frame 19,5,Yes,13.88654268722175,14.149741411697628,13.867146429194621,16.313916847686542,11.926815275424419
NOC4L,nucleolar complex associated 4 homolog,5,Yes,16.03264741271782,10.121195793124246,13.734543969800631,11.286373782526283,12.410379605004234
HLA-B,major histocompatibility complex%2C class I%2C B,5,Yes,15.47815901783564,15.990273132412652,15.318848194439708,15.465407695850741,15.746045120615314
EHMT1,euchromatic histone lysine methyltransferase 1,5,Yes,15.83678266341901,13.326424715401043,15.651631225803376,15.643182956609735,15.605203349471035
GGT4P,,5,Yes,15.210929557126603,14.260782039608845,13.370353689486063,14.15959748530791,13.386013222173691
LRRC27,leucine rich repeat containing 27,5,Yes,14.5170705877574,15.165564510443023,14.140760125429471,10.219857080884989,14.56816281712372
RFLNB,refilin B,5,Yes,14.125648436385193,15.016465530018644,12.066767052820458,12.234901046538253,13.923457010965027
