id,teloBegin,teloEnd,T2T
AG05253_1.hap1,9,13,5
AG05253_1.hap2,6,15,2
AG06939_13.hap1,5,8,2
AG06939_13.hap2,9,11,4
AG16618_12.hap1,7,11,3
AG16618_12.hap2,4,9,0
AG18353_9.hap1,7,10,3
AG18353_9.hap2,7,4,1
AG18354_5.hap1,6,10,2
AG18354_5.hap2,5,10,1
AG18355_8.hap1,6,7,1
AG18355_8.hap2,3,7,1
AG18356_6.hap1,6,10,2
AG18356_6.hap2,5,8,3
AG18357_3.hap1,7,5,1
AG18357_3.hap2,9,8,2
AG18358_4.hap1,8,12,3
AG18358_4.hap2,8,8,2
AG18359_7.hap1,4,8,2
AG18359_7.hap2,8,10,1
AG18360_11.hap1,6,8,3
AG18360_11.hap2,3,2,0
AG18361_10.hap1,6,9,1
AG18361_10.hap2,3,7,1
PR00115.hap1,2,10,1
PR00115.hap2,9,15,4
PR00249.hap1,10,15,5
PR00249.hap2,11,9,3
PR00251.hap1,8,13,4
PR00251.hap2,17,14,13
PR00366.hap1,18,23,18
PR00366.hap2,13,23,12
PR00445.hap1,10,11,6
PR00445.hap2,10,12,5
PR00496A.hap1,8,7,1
PR00496A.hap2,7,8,1
PR00512.hap1,3,6,0
PR00512.hap2,4,10,1
PR00834.hap1,8,11,3
PR00834.hap2,8,8,3
PR00838.hap1,6,7,3
PR00838.hap2,10,9,5
PR01008.hap1,12,18,7
PR01008.hap2,17,21,16
PR01009.hap1,6,7,2
PR01009.hap2,3,10,1
PR01010.hap1,18,17,12
PR01010.hap2,16,20,12
PR01100.hap1,8,10,1
PR01100.hap2,3,10,2
PR01223.hap1,8,6,1
PR01223.hap2,6,10,3
PR01225.hap1,6,8,2
PR01225.hap2,3,10,0
PR01227.hap1,15,16,8
PR01227.hap2,15,17,12
PR01228.hap1,8,11,2
PR01228.hap2,5,11,1
mPanPan1.hap1,23,23,22
mPanPan1.hap2,22,22,20
mPanTro3.hap1,24,24,24
mPanTro3.hap2,21,21,19
