chromosome,start,end,population,avg_tmrca_myr,genes,gene_biotypes,descriptions,feature_annotation
chr18_pat_hsa16,99526000,99527000,Bonobo,37.26494615655964,SPATA33,protein_coding,spermatogenesis associated 33,"AluSx#SINE/Alu,AluYg6#SINE/Alu,MER41-int#LTR/ERV1"
chr18_pat_hsa16,99525000,99526000,Bonobo,37.11840559081358,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu,MER41-int#LTR/ERV1"
chr8_mat_hsa10,13939000,13940000,Bonobo,34.772786669242244,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive),.
chr18_pat_hsa16,99475000,99476000,Bonobo,34.61637787048884,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99473000,99474000,Bonobo,34.597745505809215,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluSx#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99485000,99486000,Bonobo,33.72003441138222,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99479000,99480000,Bonobo,32.801452383858596,SPATA33,protein_coding,spermatogenesis associated 33,AluYg6#SINE/Alu
chr18_pat_hsa16,99521000,99522000,Bonobo,32.41503785204277,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99476000,99477000,Bonobo,32.410869254395614,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99481000,99482000,Bonobo,31.189294451588694,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99480000,99481000,Bonobo,30.934435493067582,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99474000,99475000,Bonobo,30.854951716216398,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluSx#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99489000,99490000,Bonobo,30.630770920889173,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99484000,99485000,Bonobo,30.54377333893286,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99488000,99489000,Bonobo,30.420892189330427,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99472000,99473000,Bonobo,30.294240836321716,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluSx#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99487000,99488000,Bonobo,30.08156445217773,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99478000,99479000,Bonobo,29.860586557777413,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr20_pat_hsa19,61956000,61957000,Bonobo,29.414832716591004,.,,,"SEDEF_SD,TR"
chr8_mat_hsa10,13886000,13887000,Bonobo,29.386036970867984,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive),.
chr18_pat_hsa16,99486000,99487000,Bonobo,28.812364185275435,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99483000,99484000,Bonobo,28.682101827126857,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99490000,99491000,Bonobo,28.55683141920322,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99482000,99483000,Bonobo,28.32477123849391,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr9_pat_hsa11,3132000,3133000,Bonobo,28.19080325724555,.,,,.
chr9_pat_hsa11,3133000,3134000,Bonobo,27.695466897007286,.,,,.
chr18_pat_hsa16,99477000,99478000,Bonobo,27.27503417938012,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr5_pat_hsa6,177162000,177163000,Bonobo,26.805113819882013,ARID1B,protein_coding,AT-rich interaction domain 1B,TR
chr19_pat_hsa17,9450000,9451000,Bonobo,26.613920603103097,RPA1,protein_coding,replication protein A1,.
chr20_pat_hsa19,61958000,61959000,Bonobo,26.589873684133025,.,,,"SEDEF_SD,TR"
