ensg,hgnc,chrom,obs_lof,exp_lof,prior_mean,post_mean,post_lower_95,post_upper_95
ENSG00000198488,HGNC:24141,chr11,12,8.9777,0.00199673,6.46629E-05,7.16256E-06,0.00017805
ENSG00000164363,HGNC:26441,chr5,31,28.55,0.00097303,0.00016062,2.59918E-05,0.00044175
ENSG00000159337,HGNC:30038,chr15,28,41.84,0.00085633,0.00016978,0.000018674,0.00053317
ENSG00000177558,HGNC:26366,chr19,12,9.9101,0.00103988,0.00017545,2.52078E-05,0.00048672
ENSG00000062524,HGNC:6721,chr15,40,42.682,0.00200026,0.00017986,1.19061E-05,0.00058858
ENSG00000176920,HGNC:4013,chr19,17,11.327,0.00082054,0.00019192,3.59112E-05,0.00053597
ENSG00000135218,HGNC:1663,chr7,66,23.431,0.00325274,0.00019911,1.62346E-05,0.00060948
ENSG00000112494,HGNC:12570,chr6,21,17.754,0.0006915,0.00020116,3.87813E-05,0.00051876
ENSG00000187922,HGNC:20892,chr9,8,10.518,0.00116255,0.00020452,2.56265E-05,0.00056415
ENSG00000080823,HGNC:9833,chr14,29,23.527,0.00254715,0.00021171,2.19761E-05,0.00063149
ENSG00000174015,HGNC:30720,chr13,9,14.372,0.00348824,0.00023283,0.00002724,0.00066109
ENSG00000205038,HGNC:20313,chr8,174,186.63,0.00184042,0.00023434,3.44738E-05,0.00062837
ENSG00000148288,HGNC:20460,chr9,15,14.426,0.00129958,0.00024695,2.31102E-05,0.00075381
ENSG00000185038,HGNC:27936,chr2,46,78.75,0.0143896,0.00024805,2.16304E-05,0.00077802
ENSG00000215568,HGNC:18325,chr22,17,20.86,0.0038653,0.00024919,1.67991E-05,0.00101212
ENSG00000137877,HGNC:15680,chr15,186,197.71,0.0162691,0.00025685,1.63904E-05,0.00077556
ENSG00000140798,HGNC:14640,chr16,72,68.743,0.00094607,0.00026314,3.37308E-05,0.00074545
ENSG00000159398,HGNC:26459,chr16,39,32.272,0.00076409,0.00026547,3.24769E-05,0.000781
ENSG00000179869,HGNC:14638,chr7,183,199.93,0.00144805,0.00026906,2.46783E-05,0.00080921
ENSG00000100336,HGNC:14867,chr22,5,6.5687,0.0375078,0.00027071,2.86317E-06,0.0009269
ENSG00000004846,HGNC:46,chr7,60,65.992,0.00094006,0.00028203,3.91459E-05,0.00079113
ENSG00000100162,HGNC:18352,chr22,4,8.2843,0.0463111,0.00028609,7.30041E-07,0.00033839
ENSG00000064270,HGNC:29103,chr16,75,49.012,0.00084837,0.00029322,0.0000289,0.00089832
ENSG00000215009,HGNC:32016,chr12,30,32.919,0.00085099,0.00029823,3.80498E-05,0.0008517
ENSG00000117834,HGNC:22146,chr1,39,37.49,0.00166046,0.00030667,6.08281E-05,0.00075174
ENSG00000198670,HGNC:6667,chr6,118,90.196,0.00186051,0.00031464,4.77709E-05,0.00083811
ENSG00000104808,HGNC:17887,chr19,14,14.161,0.0010014,0.00031803,4.42859E-05,0.00087374
ENSG00000178852,HGNC:26864,chr17,46,43.049,0.00112765,0.00032557,2.76729E-05,0.0010156
ENSG00000088827,HGNC:11127,chr20,69,68.529,0.0007053,0.00033695,5.13138E-05,0.00093272
ENSG00000121270,HGNC:14639,chr16,69,68.211,0.0008729,0.00034754,4.71233E-05,0.00098585
ENSG00000163803,HGNC:30041,chr2,107,102.49,0.00084147,0.00034855,0.000043445,0.00101465
ENSG00000223865,HGNC:4940,chr6,14,13.542,0.00830335,0.00034984,4.74281E-05,0.00106989
ENSG00000185988,HGNC:27001,chr19,8,12.56,0.0274775,0.00035051,3.48229E-06,0.0019164
ENSG00000115267,HGNC:18873,chr2,59,47.326,0.00140884,0.00035259,4.69686E-05,0.00098298
ENSG00000036448,HGNC:7614,chr8,114,89.751,0.00187729,0.00035924,4.60454E-05,0.00101018
ENSG00000203734,HGNC:21118,chr6,65,53.27,0.0007909,0.00036749,4.63783E-05,0.00107497
ENSG00000173818,HGNC:26640,chr17,15,17.037,0.00084116,0.00037089,6.03779E-05,0.00099591
ENSG00000173610,HGNC:12542,chr4,24,21.987,0.00141252,0.00037364,5.22122E-05,0.00102111
ENSG00000127415,HGNC:5391,chr4,22,26.942,0.00064222,0.00037373,8.86036E-05,0.00088732
ENSG00000100099,HGNC:15844,chr22,12,30.694,0.00686358,0.00037886,2.28256E-05,0.00117325
ENSG00000038945,HGNC:7376,chr8,27,21.723,0.00324194,0.00038345,1.95463E-05,0.00170291
ENSG00000131951,HGNC:19848,chr14,53,57.579,0.0150519,0.00038594,3.16044E-05,0.00112746
ENSG00000142405,HGNC:22938,chr19,41,39.256,0.0009744,0.00038913,3.47632E-05,0.001234
ENSG00000138792,HGNC:3355,chr4,46,51.473,0.00075067,0.00039031,6.83781E-05,0.00104083
ENSG00000186976,HGNC:24204,chr22,71,74.725,0.00080539,0.00039114,4.82848E-05,0.0011548
ENSG00000125246,HGNC:18355,chr13,15,17.637,0.00218081,0.00039263,3.11667E-05,0.00119938
ENSG00000174776,HGNC:26587,chr3,31,34.088,0.00223881,0.00039436,4.91024E-05,0.00109029
