genes_renamed,n_species,is_shared,Human_avg_tmrca_myr,Chimpanzee_avg_tmrca_myr,Bonobo_avg_tmrca_myr
BRF1,3,all_three,6.69,11.22,9.32
HLA-C,3,all_three,13.43,10.87,9.12
HLA-A,3,all_three,9.25,10.29,8.41
LILRB3,3,all_three,6.13,9.26,7
HLA-DPB1,3,all_three,7.47,8.87,6.27
ADARB2,3,all_three,21.05,8.85,19.32
SGCZ,3,all_three,8.1,8.65,6.17
PTPRN2,3,all_three,9.07,8.29,7.8
HLA-B,3,all_three,15.57,7.95,7.42
DOCK1,3,all_three,12.49,7.85,12.76
NXN,3,all_three,17.29,7.27,7.45
SMYD3,3,all_three,22.64,6.81,10.08
SDK1,3,all_three,9.33,6.51,7.18
DIP2C,3,all_three,16.3,6.25,6.59
ATP9B,2,bonobo_human,18.35,,14.27
EHMT1,2,bonobo_human,15.49,,10.6
DPEP1,2,bonobo_human,6.9,,6.27
AHRR,2,bonobo_human,6.01,,6.63
RAB11FIP3,2,chimp_human,15.73,8.92,
MICB,2,chimp_human,6.02,7.29,
PCBP3,2,chimp_human,9.34,7.27,
RPH3AL,2,chimp_human,6.57,6.81,
CNTN6,2,chimp_human,6.3,6.37,
LHPP,2,chimp_human,6.29,6.14,
KAZN,2,bonobo_chimp,,8.76,7.71
TMEM132D,2,bonobo_chimp,,8.22,7.35
TBC1D22A,2,bonobo_chimp,,8.01,9.79
ZSCAN5A,2,bonobo_chimp,,8,6.77
DOCK8,2,bonobo_chimp,,7.85,6.75
SNTG1,2,bonobo_chimp,,7.52,7.56
EYS,2,bonobo_chimp,,7.42,6.16
ATP13A3,2,bonobo_chimp,,7.21,7.53
LILRA2,2,bonobo_chimp,,7.2,7.22
DLGAP2,2,bonobo_chimp,,7.1,10.65
ACTR3B,2,bonobo_chimp,,7.03,8.64
SSU72L2,2,bonobo_chimp,,6.99,11.7
CSMD1,2,bonobo_chimp,,6.98,11.59
ZNG1A,2,bonobo_chimp,,6.93,7.07
LILRB1,2,bonobo_chimp,,6.92,8
PTPRD,2,bonobo_chimp,,6.88,6.53
ZNF578,2,bonobo_chimp,,6.88,6.53
ERC1,2,bonobo_chimp,,6.8,6.01
XKR4,2,bonobo_chimp,,6.56,6.76
PCDH15,2,bonobo_chimp,,6.49,10.03
PRKN,2,bonobo_chimp,,6.31,6.4
ADAMTS2,2,bonobo_chimp,,6.3,7.64
MYOM2,2,bonobo_chimp,,6.3,7.27
DPP6,2,bonobo_chimp,,6.14,6.94
CADPS,2,bonobo_chimp,,6.03,6.35
