chromosome,start,end,population,avg_pairwise_myr,genes,genes_renamed,descriptions
chr12_hap1_hsa2a,119177000,119178000,Chimpanzee,20.01,ALLC,ALLC,allantoicase
chr19_hap1_hsa17,12122000,12123000,Chimpanzee,12.67,SCARF1,SCARF1,scavenger receptor class F member 1
chr1_hap1_hsa1,3705000,3706000,Chimpanzee,11.96,KIF26B,KIF26B,kinesin family member 26B
chr20_hap1_hsa19,55681000,55682000,Chimpanzee,11.45,ZNF28,ZNF28,zinc finger protein 28
chr15_hap1_hsa14,103314000,103315000,Chimpanzee,11.22,BRF1,BRF1,BRF1 RNA polymerase III transcription initiation factor subunit
chr5_hap1_hsa6,37159000,37160000,Chimpanzee,10.87,PATR-C,HLA-C,major histocompatibility complex%2C class I%2C C
chr19_hap1_hsa17,95903000,95904000,Chimpanzee,10.68,FOXK2,FOXK2,forkhead box K2
chr5_hap1_hsa6,35852000,35853000,Chimpanzee,10.29,PATR-A,HLA-A,patr class I histocompatibility antigen%2C A-126 alpha chain
chr20_hap1_hsa19,59150000,59151000,Chimpanzee,9.69,ZSCAN5C,ZSCAN5C,zinc finger and SCAN domain containing 5C
chr20_hap1_hsa19,57039000,57040000,Chimpanzee,9.26,LILRB3,LILRB3,leukocyte immunoglobulin like receptor B3
chr17_hap1_hsa18,87050000,87051000,Chimpanzee,9.21,MBP,MBP,myelin basic protein
chr18_hap1_hsa16,2784000,2785000,Chimpanzee,8.92,RAB11FIP3,RAB11FIP3,RAB11 family interacting protein 3
chr5_hap1_hsa6,38996000,38997000,Chimpanzee,8.87,LOC100610904,HLA-DPB1,HLA class II histocompatibility antigen%2C DP beta 1 chain-like
chr8_hap1_hsa10,14256000,14257000,Chimpanzee,8.85,ADARB2,ADARB2,adenosine deaminase RNA specific B2 (inactive)
chr20_hap1_hsa19,56170000,56171000,Chimpanzee,8.77,ZNF845,ZNF845,zinc finger protein 845
chr1_hap1_hsa1,217111000,217112000,Chimpanzee,8.76,KAZN,KAZN,kazrin%2C periplakin interacting protein
chr7_hap1_hsa8,23866000,23867000,Chimpanzee,8.70,TUSC3,TUSC3,tumor suppressor candidate 3
chr7_hap1_hsa8,22927000,22928000,Chimpanzee,8.65,SGCZ,SGCZ,sarcoglycan zeta
chr20_hap1_hsa19,55778000,55779000,Chimpanzee,8.45,ZNF888,ZNF888,zinc finger protein 888
