genes_renamed,descriptions,n_species,species_sharing,chimp_n_pops,chimp_pop_sharing,human_n_pops,human_pop_sharing,Bonobo_Ppa,Eastern_Pt,Western_Pt,Central_Pt,AFR_hsa,EAS_hsa,EUR_hsa,SAS_hsa,AMR_hsa
ADARB2,adenosine deaminase RNA specific B2 (inactive),3,all_three,3,all_chimp_pops,5,all_human_pops,19.32,12.00956179,10.29291979,6.897279372,21.13472834,21.07498644,21.49803692,20.18255353,21.37106242
BRF1,BRF1 RNA polymerase III transcription initiation factor subunit,3,all_three,2,Eastern+Western,5,all_human_pops,9.32,16.22426184,14.24882336,NA,7.256713426,7.394796548,6.58542859,6.918256933,6.165720497
DIP2C,disco interacting protein 2 homolog C,3,all_three,3,all_chimp_pops,5,all_human_pops,6.59,8.680839239,6.462116749,10.57251199,15.60428462,17.97605769,16.90616746,16.58356111,15.88822163
DOCK1,dedicator of cytokinesis 1,3,all_three,3,all_chimp_pops,5,all_human_pops,12.76,9.272093427,8.395839711,10.02285672,12.65615607,12.91754195,13.74012011,12.3214515,11.99912948
DPEP1,dipeptidase 1,3,all_three,2,Central+Western,5,all_human_pops,6.27,NA,7.403037572,11.41339876,7.013242055,6.099179232,7.42868668,7.420620748,7.215570747
HLA-A,patr class I histocompatibility antigen%2C A-126 alpha chain,3,all_three,3,all_chimp_pops,5,all_human_pops,8.41,14.93240902,10.93109785,15.39985908,9.278544715,7.976115008,9.015823734,9.586443619,9.382691299
HLA-B,major histocompatibility complex%2C class I%2C B,3,all_three,3,all_chimp_pops,5,all_human_pops,7.42,10.50844786,8.94280176,8.444271898,15.31884819,15.47815902,15.99027313,15.4654077,15.74604512
HLA-C,major histocompatibility complex%2C class I%2C C,3,all_three,3,all_chimp_pops,5,all_human_pops,9.12,13.97974674,11.75983593,20.06876256,13.43331858,12.85968394,13.5182827,13.69842662,14.0075393
HLA-DPB1,HLA class II histocompatibility antigen%2C DP beta 1 chain-like,3,all_three,3,all_chimp_pops,5,all_human_pops,6.27,12.53644146,9.135152675,17.35836473,7.38917327,7.852090866,6.277920368,7.287493143,7.830279217
LILRB3,leukocyte immunoglobulin like receptor B3,3,all_three,3,all_chimp_pops,4,AFR+EAS+EUR+AMR,7,12.99903679,8.852540082,16.76486981,6.171287925,6.275831439,6.358242241,NA,6.38240118
NXN,nucleoredoxin,3,all_three,2,Eastern+Western,5,all_human_pops,7.45,8.624288361,8.047963222,NA,17.71770178,17.70224063,15.36950034,18.79987886,17.16501655
OSBPL5,oxysterol binding protein like 5,3,all_three,1,Central,1,EAS,8.2,NA,NA,6.978321607,NA,6.022170963,NA,NA,NA
PTPRN2,protein tyrosine phosphatase receptor type N2,3,all_three,3,all_chimp_pops,5,all_human_pops,7.8,10.06018208,8.672024509,9.586778235,9.299070457,8.974762529,7.828417329,8.946433282,9.422892667
SDK1,sidekick cell adhesion molecule 1,3,all_three,3,all_chimp_pops,5,all_human_pops,7.18,8.799835652,6.86590408,9.23544762,9.166922193,9.691744089,10.29560294,10.15683161,8.77666737
SGCZ,sarcoglycan zeta,3,all_three,3,all_chimp_pops,5,all_human_pops,6.17,10.8649854,8.852806957,16.26271097,8.527179104,8.924716893,7.952312297,7.353175894,7.704997918
