genes,genes_renamed,descriptions,num_populations,is_shared,Central,Eastern,Western
ALLC,ALLC,allantoicase,3,Yes,20.74237465,20.93278291,20.8776174
PATR-C,HLA-C,major histocompatibility complex%2C class I%2C C,3,Yes,20.06876256,13.97974674,11.75983593
LOC100610904,HLA-DPB1,HLA class II histocompatibility antigen%2C DP beta 1 chain-like,3,Yes,17.35836473,12.53644146,9.135152675
LILRB3,LILRB3,leukocyte immunoglobulin like receptor B3,3,Yes,16.76486981,12.99903679,8.852540082
LOC112205572,NEK4,serine/threonine-protein kinase Nek4-like,3,Yes,16.35137811,8.334760582,6.363918652
SGCZ,SGCZ,sarcoglycan zeta,3,Yes,16.26271097,10.8649854,8.852806957
LOC462552,HCG22,protein PBMUCL2,3,Yes,15.81037671,10.76912007,7.027262606
TUSC3,TUSC3,tumor suppressor candidate 3,3,Yes,15.63364583,11.60951478,9.370026624
PATR-A,HLA-A,patr class I histocompatibility antigen%2C A-126 alpha chain,3,Yes,15.39985908,14.93240902,10.93109785
SCARF1,SCARF1,scavenger receptor class F member 1,3,Yes,15.25318275,14.76634639,12.71814587
KAZN,KAZN,kazrin%2C periplakin interacting protein,3,Yes,14.87367078,10.19628351,9.472940496
NOM1,NOM1,nucleolar protein with MIF4G domain 1,3,Yes,13.8746788,9.713184301,7.008353842
FN3K,FN3K,fructosamine 3 kinase,3,Yes,13.75048415,6.248144313,7.516369012
LOC100609532,EYS,protein eyes shut homolog,3,Yes,13.56404232,10.14098062,7.233948076
GALNT14,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,3,Yes,13.48976078,10.59354608,8.045155278
LILRA2,LILRA2,leukocyte immunoglobulin-like receptor%2C subfamily A (with TM domain)%2C member 2,3,Yes,13.4667052,10.57326783,6.562369428
NR2E3,NR2E3,nuclear receptor subfamily 2 group E member 3,3,Yes,12.6579534,8.491189814,7.143229804
OR2M4,OR2M4,olfactory receptor family 2 subfamily M member 4,3,Yes,12.62680679,8.26160708,6.892970869
TENM4,TENM4,teneurin transmembrane protein 4,3,Yes,12.51695143,9.106701462,7.545085788
KIF26B,KIF26B,kinesin family member 26B,3,Yes,12.42428007,13.75469751,11.91348617
TECRL,TECRL,trans-2%2C3-enoyl-CoA reductase like,3,Yes,12.23396294,7.843455915,7.001071239
ERC1,ERC1,ELKS/RAB6-interacting/CAST family member 1,3,Yes,12.21567735,6.538117508,6.77149911
DOCK8,DOCK8,dedicator of cytokinesis 8,3,Yes,12.19952191,12.17747455,9.368138378
PTPRE,PTPRE,protein tyrosine phosphatase receptor type E,3,Yes,12.19458421,8.134217768,7.28201954
RASGEF1C,RASGEF1C,RasGEF domain family member 1C,3,Yes,12.16372663,7.897743013,9.212230684
