chromosome,start,end,population,avg_tmrca_myr,genes,genes_renamed,gene_biotypes,descriptions
chr12_hap1_hsa2a,119177000,119178000,Central,31.16251463,ALLC,ALLC,protein_coding,allantoicase
chr12_hap1_hsa2a,119177000,119178000,Eastern,31.16251463,ALLC,ALLC,protein_coding,allantoicase
chr12_hap1_hsa2a,119177000,119178000,Western,31.16251463,ALLC,ALLC,protein_coding,allantoicase
chr14_hap1_hsa13,119821000,119822000,Central,28.84389608,CFAP97D2,CFAP97D2,protein_coding,CFAP97 domain containing 2
chr14_hap1_hsa13,119821000,119822000,Eastern,28.84389608,CFAP97D2,CFAP97D2,protein_coding,CFAP97 domain containing 2
chr14_hap1_hsa13,119821000,119822000,Western,28.84389608,CFAP97D2,CFAP97D2,protein_coding,CFAP97 domain containing 2
chr15_hap1_hsa14,103314000,103315000,Eastern,26.75834686,BRF1,BRF1,protein_coding,BRF1 RNA polymerase III transcription initiation factor subunit
chr15_hap1_hsa14,103314000,103315000,Western,26.75834686,BRF1,BRF1,protein_coding,BRF1 RNA polymerase III transcription initiation factor subunit
chr8_hap1_hsa10,14256000,14257000,Eastern,24.3547843,ADARB2,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive)
chr8_hap1_hsa10,14256000,14257000,Western,24.3547843,ADARB2,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive)
chr19_hap1_hsa17,95903000,95904000,Central,22.03662171,FOXK2,FOXK2,protein_coding,forkhead box K2
chr19_hap1_hsa17,95903000,95904000,Eastern,22.03662171,FOXK2,FOXK2,protein_coding,forkhead box K2
chr19_hap1_hsa17,95903000,95904000,Western,22.03662171,FOXK2,FOXK2,protein_coding,forkhead box K2
chr5_hap1_hsa6,37159000,37160000,Central,21.5820461,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37159000,37160000,Eastern,21.5820461,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37159000,37160000,Western,21.5820461,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37157000,37158000,Central,21.11211909,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37157000,37158000,Eastern,21.11211909,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37157000,37158000,Western,21.11211909,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37158000,37159000,Central,21.06094468,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37158000,37159000,Eastern,21.06094468,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37158000,37159000,Western,21.06094468,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr1_hap1_hsa1,3705000,3706000,Central,20.95191715,KIF26B,KIF26B,protein_coding,kinesin family member 26B
chr1_hap1_hsa1,3705000,3706000,Eastern,20.95191715,KIF26B,KIF26B,protein_coding,kinesin family member 26B
chr1_hap1_hsa1,3705000,3706000,Western,20.95191715,KIF26B,KIF26B,protein_coding,kinesin family member 26B
chr19_hap1_hsa17,12122000,12123000,Central,20.77049651,SCARF1,SCARF1,protein_coding,scavenger receptor class F member 1
chr19_hap1_hsa17,12122000,12123000,Eastern,20.77049651,SCARF1,SCARF1,protein_coding,scavenger receptor class F member 1
chr19_hap1_hsa17,12122000,12123000,Western,20.77049651,SCARF1,SCARF1,protein_coding,scavenger receptor class F member 1
chr20_hap1_hsa19,55681000,55682000,Eastern,20.62042564,ZNF28,ZNF28,protein_coding,zinc finger protein 28
chr20_hap1_hsa19,55681000,55682000,Western,20.62042564,ZNF28,ZNF28,protein_coding,zinc finger protein 28
chr8_hap1_hsa10,14260000,14261000,Eastern,20.47905109,ADARB2,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive)
chr8_hap1_hsa10,14260000,14261000,Western,20.47905109,ADARB2,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive)
chr5_hap1_hsa6,37245000,37246000,Central,19.61775774,PATR-B,HLA-B,protein_coding,major histocompatibility complex%2C class I%2C B
chr5_hap1_hsa6,37245000,37246000,Eastern,19.61775774,PATR-B,HLA-B,protein_coding,major histocompatibility complex%2C class I%2C B
chr5_hap1_hsa6,37245000,37246000,Western,19.61775774,PATR-B,HLA-B,protein_coding,major histocompatibility complex%2C class I%2C B
chr6_hap1_hsa7,169780000,169781000,Eastern,19.29865972,DPP6,DPP6,protein_coding,dipeptidyl peptidase like 6
chr6_hap1_hsa7,169780000,169781000,Western,19.29865972,DPP6,DPP6,protein_coding,dipeptidyl peptidase like 6
chr10_hap1_hsa12,138617000,138618000,Central,19.1548855,SFSWAP,SFSWAP,protein_coding,splicing factor SWAP
chr10_hap1_hsa12,138617000,138618000,Eastern,19.1548855,SFSWAP,SFSWAP,protein_coding,splicing factor SWAP
chr10_hap1_hsa12,138617000,138618000,Western,19.1548855,SFSWAP,SFSWAP,protein_coding,splicing factor SWAP
chr5_hap1_hsa6,37160000,37161000,Central,19.09703161,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37160000,37161000,Eastern,19.09703161,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37160000,37161000,Western,19.09703161,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr8_hap1_hsa10,144937000,144938000,Eastern,18.60022526,INPP5A,INPP5A,protein_coding,inositol polyphosphate-5-phosphatase A
chr8_hap1_hsa10,144937000,144938000,Western,18.60022526,INPP5A,INPP5A,protein_coding,inositol polyphosphate-5-phosphatase A
chr5_hap1_hsa6,35852000,35853000,Central,18.43459796,PATR-A,HLA-A,protein_coding,patr class I histocompatibility antigen%2C A-126 alpha chain
chr5_hap1_hsa6,35852000,35853000,Eastern,18.43459796,PATR-A,HLA-A,protein_coding,patr class I histocompatibility antigen%2C A-126 alpha chain
chr5_hap1_hsa6,35852000,35853000,Western,18.43459796,PATR-A,HLA-A,protein_coding,patr class I histocompatibility antigen%2C A-126 alpha chain
chr20_hap1_hsa19,59150000,59151000,Central,18.31976024,ZSCAN5C,ZSCAN5C,protein_coding,zinc finger and SCAN domain containing 5C
chr20_hap1_hsa19,59150000,59151000,Eastern,18.31976024,ZSCAN5C,ZSCAN5C,protein_coding,zinc finger and SCAN domain containing 5C
chr20_hap1_hsa19,59150000,59151000,Western,18.31976024,ZSCAN5C,ZSCAN5C,protein_coding,zinc finger and SCAN domain containing 5C
chr18_hap1_hsa16,87844000,87845000,Central,18.30308841,DPEP1,DPEP1,protein_coding,dipeptidase 1
chr18_hap1_hsa16,87844000,87845000,Western,18.30308841,DPEP1,DPEP1,protein_coding,dipeptidase 1
chr13_hap1_hsa2b,16069000,16070000,Eastern,18.21918089,DPP10,DPP10,protein_coding,dipeptidyl peptidase like 10
chr13_hap1_hsa2b,16069000,16070000,Western,18.21918089,DPP10,DPP10,protein_coding,dipeptidyl peptidase like 10
chr1_hap1_hsa1,229717000,229718000,Eastern,18.11327983,SKI,SKI,protein_coding,SKI proto-oncogene
chr1_hap1_hsa1,229717000,229718000,Western,18.11327983,SKI,SKI,protein_coding,SKI proto-oncogene
chr20_hap1_hsa19,55778000,55779000,Central,18.09405563,ZNF888,ZNF888,protein_coding,zinc finger protein 888
chr20_hap1_hsa19,55778000,55779000,Eastern,18.09405563,ZNF888,ZNF888,protein_coding,zinc finger protein 888
chr20_hap1_hsa19,55778000,55779000,Western,18.09405563,ZNF888,ZNF888,protein_coding,zinc finger protein 888
chr11_hap1_hsa9,115550000,115551000,Eastern,17.92368873,DOCK8,DOCK8,protein_coding,dedicator of cytokinesis 8
chr11_hap1_hsa9,115550000,115551000,Western,17.92368873,DOCK8,DOCK8,protein_coding,dedicator of cytokinesis 8
chr22_hap1_hsa21,46564000,46565000,Western,17.79759769,PCBP3,PCBP3,protein_coding,poly(rC) binding protein 3
chr20_hap1_hsa19,57039000,57040000,Central,17.78741873,LILRB3,LILRB3,protein_coding,leukocyte immunoglobulin like receptor B3
chr20_hap1_hsa19,57039000,57040000,Eastern,17.78741873,LILRB3,LILRB3,protein_coding,leukocyte immunoglobulin like receptor B3
chr20_hap1_hsa19,57039000,57040000,Western,17.78741873,LILRB3,LILRB3,protein_coding,leukocyte immunoglobulin like receptor B3
chr19_hap1_hsa17,10785000,10786000,Central,17.50818352,RPH3AL,RPH3AL,protein_coding,rabphilin 3A like (without C2 domains)
chr19_hap1_hsa17,10785000,10786000,Western,17.50818352,RPH3AL,RPH3AL,protein_coding,rabphilin 3A like (without C2 domains)
chr17_hap1_hsa18,87050000,87051000,Central,17.48243541,MBP,MBP,protein_coding,myelin basic protein
chr17_hap1_hsa18,87050000,87051000,Eastern,17.48243541,MBP,MBP,protein_coding,myelin basic protein
chr17_hap1_hsa18,87050000,87051000,Western,17.48243541,MBP,MBP,protein_coding,myelin basic protein
chr3_hap1_hsa4,145551000,145552000,Central,17.47087123,GYPB,GYPB,protein_coding,glycophorin B (MNS blood group)
chr5_hap1_hsa6,38996000,38997000,Central,17.3653179,LOC100610904,HLA-DPB1,protein_coding,HLA class II histocompatibility antigen%2C DP beta 1 chain-like
chr5_hap1_hsa6,38996000,38997000,Eastern,17.3653179,LOC100610904,HLA-DPB1,protein_coding,HLA class II histocompatibility antigen%2C DP beta 1 chain-like
chr5_hap1_hsa6,38996000,38997000,Western,17.3653179,LOC100610904,HLA-DPB1,protein_coding,HLA class II histocompatibility antigen%2C DP beta 1 chain-like
chr20_hap1_hsa19,59668000,59669000,Western,17.22278037,LOC104003467,OR1L4,protein_coding,olfactory receptor 1L4-like
chr4_hap1_hsa5,177595000,177596000,Central,17.10477126,RASGEF1C,RASGEF1C,protein_coding,RasGEF domain family member 1C
chr4_hap1_hsa5,177595000,177596000,Eastern,17.10477126,RASGEF1C,RASGEF1C,protein_coding,RasGEF domain family member 1C
