genes_renamed,descriptions,gene_biotypes,n_species,species_sharing,chimp_n_pops,chimp_pop_sharing,Bonobo_Ppa,Central_Pt,Eastern_Pt,Western_Pt,1KGP_AFR_hsa
HLA-DPB1,HLA class II histocompatibility antigen%2C DP beta 1 chain-like,protein_coding,3,all_three,3,all_chimp_pops,6.27,17.35836473,12.53644146,9.135152675,14.11234052
DOCK1,dedicator of cytokinesis 1,protein_coding,3,all_three,3,all_chimp_pops,12.76,10.02285672,9.272093427,8.395839711,7.326624424
PCDH15,protocadherin related 15,protein_coding,3,all_three,3,all_chimp_pops,10.03,11.32390145,8.524028142,6.747994532,6.618006362
HLA-DPA1,major histocompatibility complex%2C class II%2C DP alpha 1;major histocompatibility complex%2C class II%2C DP beta 1,protein_coding,2,chimp_human,1,Central,NA,10.4259662,NA,NA,17.12730003
TRIM5,tripartite motif containing 5,protein_coding,2,bonobo_human,0,NA,6.17,NA,NA,NA,9.984972875
BTNL2,butyrophilin like 2,protein_coding,2,bonobo_human,0,NA,6.6,NA,NA,NA,8.767978302
HBE1,hemoglobin subunit epsilon 1,protein_coding,2,chimp_human,2,Eastern+Western,NA,NA,9.845422421,9.558579522,8.391848747
CCHCR1,coiled-coil alpha-helical rod protein 1,protein_coding,2,chimp_human,2,Central+Eastern,NA,10.072895,7.083532654,NA,8.082864621
OR51I2,hemoglobin subunit epsilon 1;olfactory receptor family 51 subfamily I member 2,protein_coding,2,chimp_human,2,Eastern+Western,NA,NA,8.337248378,6.397938677,7.61404098
EVC2,EvC ciliary complex subunit 2;uncharacterized LOC134809856,protein_coding,2,chimp_human,2,Central+Eastern,NA,10.30123047,7.950343823,NA,7.476685112
CTNNA3,catenin alpha 3,protein_coding,2,chimp_human,2,Central+Eastern,NA,9.996717994,7.07928676,NA,7.428194589
OR51M1,hemoglobin subunit epsilon 1;olfactory receptor family 51 subfamily M member 1,protein_coding,2,chimp_human,3,all_chimp_pops,NA,7.440373598,6.736896396,6.259487849,7.400218893
OR51B6,hemoglobin subunit epsilon 1;olfactory receptor family 51 subfamily B member 6,protein_coding,2,chimp_human,1,Eastern,NA,NA,7.349713793,NA,7.390968525
SNTG2,syntrophin gamma 2,protein_coding,2,chimp_human,3,all_chimp_pops,NA,7.608062588,10.14563708,7.553208821,7.286680507
GRM7,glutamate metabotropic receptor 7,protein_coding,2,chimp_human,3,all_chimp_pops,NA,10.23055831,8.511839329,7.528195059,7.286289262
LGALS8,galectin 8,protein_coding,2,chimp_human,1,Eastern,NA,NA,6.12496834,NA,7.267064541
SYT9,synaptotagmin 9,protein_coding,2,chimp_human,1,Central,NA,6.041040453,NA,NA,7.23484073
ADGRE1,adhesion G protein-coupled receptor E1,protein_coding,2,chimp_human,2,Central+Eastern,NA,8.158402447,6.935254582,NA,7.143454692
CNTN5,contactin 5,protein_coding,2,chimp_human,3,all_chimp_pops,NA,8.043357364,6.573574189,6.282949283,6.790940711
MUC22,mucin 22,protein_coding,2,chimp_human,1,Eastern,NA,NA,7.917701661,NA,6.730587036
SGCG,sarcoglycan gamma,protein_coding,2,chimp_human,1,Central,NA,7.266595646,NA,NA,6.688747036
DMBT1,deleted in malignant brain tumors 1,protein_coding,2,chimp_human,1,Eastern,NA,NA,8.732054746,NA,6.672583551
ANO3,anoctamin 3,protein_coding,2,chimp_human,2,Eastern+Western,NA,NA,7.990393813,6.369355802,6.590571108
ULK4,unc-51 like kinase 4,protein_coding,2,chimp_human,1,Central,NA,6.667080778,NA,NA,6.585489972
TCERG1L,transcription elongation regulator 1 like,protein_coding,2,chimp_human,1,Eastern,NA,NA,6.526760594,NA,6.467899333
UNC13C,unc-13 homolog C,protein_coding,2,chimp_human,3,all_chimp_pops,NA,9.569405539,6.900399487,6.008207182,6.467382171
ENTREP2,endosomal transmembrane epsin interactor 2,protein_coding,2,chimp_human,2,Central+Eastern,NA,8.221810778,7.295450857,NA,6.432664997
MMP26,matrix metallopeptidase 26,protein_coding,2,chimp_human,3,all_chimp_pops,NA,10.21180795,9.855968549,8.21930461,6.431881836
SACS,sacsin molecular chaperone,protein_coding,2,chimp_human,1,Central,NA,7.611315918,NA,NA,6.388253483
GPR158,G protein-coupled receptor 158,protein_coding,2,chimp_human,2,Central+Eastern,NA,8.767138138,6.415572966,NA,6.38753961
IGFBP7,insulin like growth factor binding protein 7,protein_coding,2,chimp_human,2,Eastern+Western,NA,NA,7.535172976,6.114573826,6.380934377
GRK3,G protein-coupled receptor kinase 3,protein_coding,2,bonobo_chimp,1,Central,8.03,10.1915439,NA,NA,NA
ADAMTS7,A disintegrin and metalloproteinase with thrombospondin motifs 7,protein_coding,2,bonobo_chimp,1,Central,8.16,9.642969424,NA,NA,NA
PRH1,salivary acidic proline-rich phosphoprotein 1/2;taste receptor type 2 member 46,protein_coding,2,bonobo_chimp,1,Central,6.77,9.258000851,NA,NA,NA
CDIN1,CDAN1 interacting nuclease 1,protein_coding,2,bonobo_chimp,1,Central,6.4,8.476675003,NA,NA,NA
FMN2,formin 2,protein_coding,2,bonobo_chimp,1,Central,8.77,8.149727364,NA,NA,NA
ITPR1,inositol 1%2C4%2C5-trisphosphate receptor type 1;uncharacterized LOC129143473,protein_coding,2,bonobo_chimp,1,Central,6.18,7.798306501,NA,NA,NA
SFMBT2,Scm like with four mbt domains 2,protein_coding,2,bonobo_chimp,1,Central,6.69,7.414938143,NA,NA,NA
TRAF3,TNF receptor associated factor 3,protein_coding,2,bonobo_chimp,1,Central,8.68,7.265647951,NA,NA,NA
IQCG,IQ motif containing G,protein_coding,2,bonobo_chimp,1,Central,10.74,7.116111701,NA,NA,NA
OSBPL5,oxysterol binding protein like 5,protein_coding,2,bonobo_chimp,1,Central,8.2,6.978321607,NA,NA,NA
GRK1,G protein-coupled receptor kinase 1,protein_coding,2,bonobo_chimp,1,Central,10.5,6.82896177,NA,NA,NA
MSR1,macrophage scavenger receptor 1,protein_coding,2,bonobo_chimp,1,Central,6.43,6.257137396,NA,NA,NA
PRKN,parkin RBR E3 ubiquitin protein ligase,protein_coding,2,bonobo_chimp,2,Central+Eastern,6.4,11.0742214,8.536085752,NA,NA
INPP4B,inositol polyphosphate-4-phosphatase type II B,protein_coding,2,bonobo_chimp,2,Central+Eastern,7.42,11.54133197,8.52142669,NA,NA
TBCD,tubulin folding cofactor D,protein_coding,2,bonobo_chimp,2,Central+Eastern,6.38,7.479513204,8.042170136,NA,NA
TADA1,transcriptional adaptor 1,protein_coding,2,bonobo_chimp,1,Eastern,6.04,NA,7.918163945,NA,NA
NLRP4,NLR family pyrin domain containing 4,protein_coding,2,bonobo_chimp,1,Eastern,6.71,NA,7.683196154,NA,NA
MCF2L,MCF.2 cell line derived transforming sequence like,protein_coding,2,bonobo_chimp,2,Central+Eastern,6.49,6.06685956,7.659535076,NA,NA
RPA1,replication protein A1,protein_coding,2,bonobo_chimp,2,Central+Eastern,15.34,6.622457,7.459709476,NA,NA
LRRTM4,leucine rich repeat transmembrane neuronal 4,protein_coding,2,bonobo_chimp,1,Eastern,8.56,NA,7.406653296,NA,NA
PACRG,parkin coregulated,protein_coding,2,bonobo_chimp,2,Central+Eastern,6.27,7.693244101,7.380452836,NA,NA
