contig	liftoff_label	corrected_label	gene_start	gene_end	strand	category	transcript	transitions
PR01227.hap1	GYPB	GYPA	152656	178913	-	gene_conversion	XM_011531904.4_3	GYPA:174219-178913:0.96:-0.00,GYPE:173786-174218:0.97:0.03,GYPA:158084-173785:0.97:0.04,GYPE:157791-158083:0.97:0.03,GYPA:155427-157790:0.96:-0.01,GYPE:154946-155426:0.92:0.03,GYPA:152656-154945:0.75:-0.21
PR01227.hap1	GYPE	GYPE	255532	290338	-	gene_conversion	NM_198682.3	GYPE:287264-290338:0.98:0.01,GYPB:287062-287263:0.96:0.03,GYPE:255532-287061:0.98:0.26
PR01227.hap1	GYPB	GYPE	379531	407115	-	fusion	XM_011531904.4_2	GYPE:393442-407115:0.96:0.37,GYPA:393222-393441:0.99:0.07,GYPE:382651-393221:0.97:0.01,GYPB:381655-382650:0.97:0.02,GYPE:379531-381654:0.96:-0.01
PR01227.hap1	GYPB	GYPB	488553	512008	-	fusion	NM_002100.6	GYPB:507269-512008:0.96:0.01,GYPE:506844-507268:0.97:0.03,GYPB:500125-506843:0.98:0.02,GYPA:499905-500124:0.98:0.07,GYPB:488553-499904:0.97:0.01
PR01227.hap1	GYPA	GYPE	609184	645849	-	fusion	NM_002099.8	GYPE:625682-645849:0.98:0.27,GYPA:621570-625681:0.98:0.12,GYPE:621314-621569:0.99:0.01,GYPA:620325-621313:0.99:0.02,GYPE:617783-620324:0.96:-0.01,GYPA:617456-617782:0.98:0.02,GYPE:617097-617455:0.96:-0.01,GYPA:609184-617096:0.98:0.52
PR01227.hap1	GYPB	GYPE	738704	765038	-	fusion	XM_011531904.4_1	GYPE:757543-765038:0.96:-0.00,GYPB:757341-757542:0.97:0.03,GYPE:753200-757340:0.97:-0.00,GYPA:752989-753199:0.98:0.06,GYPE:748455-752988:0.97:0.01,GYPA:747388-748454:0.95:0.40,GYPE:742766-747387:0.96:-0.01,GYPA:742399-742765:0.99:0.03,GYPE:741840-742398:0.97:-0.00,GYPB:740802-741839:0.98:0.02,GYPE:739979-740801:0.95:-0.01,GYPB:739013-739978:0.99:0.03,GYPE:738704-739012:0.96:0.00
PR01227.hap2	GYPE	GYPE	145388	175138	-	fusion	NM_198682.3_1	GYPE:161321-175138:0.96:-0.00,GYPA:154347-161320:0.98:0.08,GYPE:145388-154346:0.96:0.27
PR01227.hap2	GYPE	GYPE	251785	286538	-	gene_conversion	NM_198682.3	GYPE:283476-286538:0.98:0.01,GYPB:283270-283475:0.97:0.03,GYPE:251785-283269:0.98:0.26
PR01227.hap2	GYPB	GYPB	375757	399215	-	fusion	NM_002100.6	GYPB:394488-399215:0.96:0.01,GYPE:394054-394487:0.97:0.03,GYPB:387328-394053:0.98:0.02,GYPA:387108-387327:0.98:0.07,GYPB:375757-387107:0.98:0.01
PR01227.hap2	GYPA	GYPA	489397	520832	-	normal	NM_002099.8	GYPA
PR01223.hap1	GYPB	GYPA	148871	175034	-	gene_conversion	XM_011531904.4_3	GYPA:172180-175034:0.96:-0.01,GYPB:171624-172179:0.96:0.02,GYPA:170337-171623:0.96:0.00,GYPE:169904-170336:0.97:0.03,GYPA:154297-169903:0.97:0.04,GYPE:153825-154296:0.97:0.02,GYPA:151640-153824:0.95:-0.01,GYPE:151159-151639:0.92:0.03,GYPA:148871-151158:0.75:-0.21
PR01223.hap1	GYPE	GYPE	255977	290700	-	normal	NM_198682.3	GYPE
PR01223.hap1	GYPB	GYPE	379960	407544	-	fusion	XM_011531904.4_2	GYPE:393871-407544:0.96:0.37,GYPA:393651-393870:0.99:0.07,GYPE:383080-393650:0.97:0.01,GYPB:382084-383079:0.97:0.02,GYPE:379960-382083:0.96:-0.01
PR01223.hap1	GYPB	GYPB	489520	512979	-	fusion	NM_002100.6	GYPB:508242-512979:0.96:0.01,GYPE:507817-508241:0.97:0.03,GYPB:501092-507816:0.98:0.01,GYPA:500872-501091:0.98:0.07,GYPB:489520-500871:0.97:0.01
PR01223.hap1	GYPA	GYPE	610135	646803	-	fusion	NM_002099.8	GYPE:626635-646803:0.98:0.27,GYPA:622523-626634:0.98:0.12,GYPE:622267-622522:0.98:0.01,GYPA:621190-622266:0.99:0.02,GYPE:618736-621189:0.96:-0.01,GYPA:618409-618735:0.98:0.02,GYPE:618050-618408:0.96:-0.01,GYPA:610135-618049:0.98:0.52
PR01223.hap1	GYPB	GYPE	739678	766013	-	fusion	XM_011531904.4_1	GYPE:758518-766013:0.96:-0.00,GYPB:758316-758517:0.97:0.03,GYPE:754175-758315:0.97:-0.00,GYPA:753964-754174:0.98:0.06,GYPE:749430-753963:0.97:0.01,GYPA:748363-749429:0.95:0.40,GYPE:743741-748362:0.96:-0.01,GYPA:743374-743740:0.99:0.03,GYPE:742815-743373:0.97:-0.00,GYPB:741777-742814:0.98:0.02,GYPE:741178-741776:0.95:-0.03,GYPB:739987-741177:0.99:0.02,GYPE:739678-739986:0.96:0.00
PR01223.hap2	GYPE	GYPE	152275	182055	-	fusion	NM_198682.3_1	GYPE:168242-182055:0.96:-0.00,GYPA:161269-168241:0.98:0.08,GYPE:157690-161268:0.95:0.00,GYPA:157382-157689:0.97:0.02,GYPE:152275-157381:0.96:0.45
PR01223.hap2	GYPE	GYPE	258677	293375	-	normal	NM_198682.3	GYPE
PR01223.hap2	GYPB	GYPE	382633	410210	-	fusion	XM_011531904.4_1	GYPE:396541-410210:0.96:0.37,GYPA:396321-396540:0.99:0.07,GYPE:382633-396320:0.97:0.04
PR01223.hap2	GYPB	GYPB	491890	515393	-	fusion	NM_002100.6	GYPB:510596-515393:0.95:0.01,GYPE:510171-510595:0.97:0.03,GYPB:503454-510170:0.98:0.02,GYPA:503234-503453:0.98:0.07,GYPB:491890-503233:0.98:0.01
PR01223.hap2	GYPA	GYPA	606426	637892	-	normal	NM_002099.8	GYPA
PR00512.hap1	GYPB	GYPA	148873	175137	-	gene_conversion	XM_011531904.4_3	GYPA:170440-175137:0.96:-0.01,GYPE:170007-170439:0.97:0.03,GYPA:154299-170006:0.97:0.04,GYPE:154006-154298:0.97:0.03,GYPA:151642-154005:0.95:-0.01,GYPE:151161-151641:0.92:0.03,GYPA:148873-151160:0.76:-0.20
PR00512.hap1	GYPE	GYPE	251769	286593	-	gene_conversion	NM_198682.3	GYPE:283521-286593:0.98:0.01,GYPB:283319-283520:0.97:0.03,GYPE:251769-283318:0.98:0.26
PR00512.hap1	GYPB	GYPE	375785	403364	-	fusion	XM_011531904.4_2	GYPE:389691-403364:0.96:0.37,GYPA:389471-389690:0.99:0.07,GYPE:378904-389470:0.97:0.01,GYPB:377908-378903:0.97:0.02,GYPE:375785-377907:0.96:-0.01
