contig	original_label	corrected_label	gene_start	gene_end	strand	category	transcript	transitions
100000_CHM13.pri	GYPE	GYPE	170585	205431	-	normal	NM_198682.3	GYPE
100000_CHM13.pri	GYPB	GYPB	295111	319296	-	normal	NM_002100.6	GYPB
100000_CHM13.pri	GYPA	GYPA	409204	440590	-	normal	NM_002099.8	GYPA
120001_CN1.pat	GYPE	GYPE	170635	205388	-	normal	NM_198682.3	GYPE
120001_CN1.pat	GYPB	GYPB	295055	319246	-	normal	NM_002100.6	GYPB
120001_CN1.pat	GYPA	GYPA	409176	440562	-	normal	NM_002099.8	GYPA
120002_CN1.mat	GYPE	GYPE	170581	205427	-	normal	NM_198682.3	GYPE
120002_CN1.mat	GYPB	GYPB	295095	319285	-	normal	NM_002100.6	GYPB
120002_CN1.mat	GYPA	GYPA	409213	440599	-	normal	NM_002099.8	GYPA
120005_KSA001.pat	GYPE	GYPE	170557	205403	-	normal	NM_198682.3	GYPE
120005_KSA001.pat	GYPB	GYPB	295098	319288	-	normal	NM_002100.6	GYPB
120005_KSA001.pat	GYPA	GYPA	409205	440591	-	normal	NM_002099.8	GYPA
120006_KSA001.mat	GYPE	GYPE	170749	205418	-	normal	NM_198682.3	GYPE
120006_KSA001.mat	GYPB	GYPB	295071	319258	-	normal	NM_002100.6	GYPB
120006_KSA001.mat	GYPA	GYPA	409170	440556	-	normal	NM_002099.8	GYPA
120007_I002C.pat	GYPE	GYPE	170580	205416	-	normal	NM_198682.3	GYPE
120007_I002C.pat	GYPB	GYPB	295107	319297	-	normal	NM_002100.6	GYPB
120007_I002C.pat	GYPA	GYPA	409221	440607	-	normal	NM_002099.8	GYPA
120008_I002C.mat	GYPE	GYPE	170574	205420	-	normal	NM_198682.3	GYPE
120008_I002C.mat	GYPB	GYPB	295099	319283	-	normal	NM_002100.6	GYPB
120008_I002C.mat	GYPA	GYPA	409212	440598	-	normal	NM_002099.8	GYPA
120009_KOREF1.pat	GYPE	GYPE	170564	205411	-	normal	NM_198682.3	GYPE
120009_KOREF1.pat	GYPB	GYPB	295082	319270	-	normal	NM_002100.6	GYPB
120009_KOREF1.pat	GYPA	GYPA	409188	440597	-	normal	NM_002099.8	GYPA
