genomeName	stat	v1	v2	type	method
PR01227	auN	2984997423	394.9642	hap1	HiFi
PR01227	auNG	3100000000	380.31195	hap1	HiFi
PR01227	Nx	1	135230377.0	hap1	HiFi
PR01227	Nx	2	135230377.0	hap1	HiFi
PR01227	Nx	3	135230377.0	hap1	HiFi
PR01227	Nx	4	135230377.0	hap1	HiFi
PR01227	Nx	5	134678745.0	hap1	HiFi
PR01227	Nx	6	134678745.0	hap1	HiFi
PR01227	Nx	7	134678745.0	hap1	HiFi
PR01227	Nx	8	134678745.0	hap1	HiFi
PR01227	Nx	9	134678745.0	hap1	HiFi
PR01227	Nx	10	134581458.0	hap1	HiFi
PR01227	Nx	11	134581458.0	hap1	HiFi
PR01227	Nx	12	134581458.0	hap1	HiFi
PR01227	Nx	13	134581458.0	hap1	HiFi
PR01227	Nx	14	121921640.0	hap1	HiFi
PR01227	Nx	15	121921640.0	hap1	HiFi
PR01227	Nx	16	121921640.0	hap1	HiFi
PR01227	Nx	17	121921640.0	hap1	HiFi
PR01227	Nx	18	114201073.0	hap1	HiFi
PR01227	Nx	19	114201073.0	hap1	HiFi
PR01227	Nx	20	114201073.0	hap1	HiFi
PR01227	Nx	21	114201073.0	hap1	HiFi
PR01227	Nx	22	110928542.0	hap1	HiFi
PR01227	Nx	23	110928542.0	hap1	HiFi
PR01227	Nx	24	110928542.0	hap1	HiFi
PR01227	Nx	25	110928542.0	hap1	HiFi
PR01227	Nx	26	107052048.0	hap1	HiFi
PR01227	Nx	27	107052048.0	hap1	HiFi
PR01227	Nx	28	107052048.0	hap1	HiFi
PR01227	Nx	29	87937049.0	hap1	HiFi
PR01227	Nx	30	87937049.0	hap1	HiFi
PR01227	Nx	31	87937049.0	hap1	HiFi
PR01227	Nx	32	72445317.0	hap1	HiFi
PR01227	Nx	33	72445317.0	hap1	HiFi
PR01227	Nx	34	72445317.0	hap1	HiFi
PR01227	Nx	35	70906380.0	hap1	HiFi
PR01227	Nx	36	70906380.0	hap1	HiFi
PR01227	Nx	37	65260272.0	hap1	HiFi
PR01227	Nx	38	65260272.0	hap1	HiFi
PR01227	Nx	39	62917582.0	hap1	HiFi
PR01227	Nx	40	62917582.0	hap1	HiFi
PR01227	Nx	41	56483615.0	hap1	HiFi
PR01227	Nx	42	56483615.0	hap1	HiFi
PR01227	Nx	43	52173600.0	hap1	HiFi
PR01227	Nx	44	52173600.0	hap1	HiFi
PR01227	Nx	45	48396939.0	hap1	HiFi
PR01227	Nx	46	48396939.0	hap1	HiFi
PR01227	Nx	47	46564981.0	hap1	HiFi
PR01227	Nx	48	43571814.0	hap1	HiFi
PR01227	Nx	49	43571814.0	hap1	HiFi
PR01227	Nx	50	41101977.0	hap1	HiFi
PR01227	Nx	51	39074555.0	hap1	HiFi
PR01227	Nx	52	38624588.0	hap1	HiFi
PR01227	Nx	53	38624588.0	hap1	HiFi
PR01227	Nx	54	38620244.0	hap1	HiFi
PR01227	Nx	55	38541641.0	hap1	HiFi
PR01227	Nx	56	38308808.0	hap1	HiFi
PR01227	Nx	57	38018297.0	hap1	HiFi
PR01227	Nx	58	38018297.0	hap1	HiFi
PR01227	Nx	59	37484603.0	hap1	HiFi
PR01227	Nx	60	36352493.0	hap1	HiFi
PR01227	Nx	61	35102662.0	hap1	HiFi
PR01227	Nx	62	33628500.0	hap1	HiFi
PR01227	Nx	63	33061205.0	hap1	HiFi
PR01227	Nx	64	33061205.0	hap1	HiFi
PR01227	Nx	65	30803128.0	hap1	HiFi
PR01227	Nx	66	29844159.0	hap1	HiFi
PR01227	Nx	67	28632912.0	hap1	HiFi
PR01227	Nx	68	28071265.0	hap1	HiFi
PR01227	Nx	69	24666027.0	hap1	HiFi
PR01227	Nx	70	23672821.0	hap1	HiFi
PR01227	Nx	71	22496560.0	hap1	HiFi
PR01227	Nx	72	21790219.0	hap1	HiFi
PR01227	Nx	73	20705144.0	hap1	HiFi
PR01227	Nx	74	20611433.0	hap1	HiFi
PR01227	Nx	75	17770686.0	hap1	HiFi
PR01227	Nx	76	16352716.0	hap1	HiFi
PR01227	Nx	77	15848503.0	hap1	HiFi
PR01227	Nx	78	14944538.0	hap1	HiFi
PR01227	Nx	79	13946108.0	hap1	HiFi
PR01227	Nx	80	12617750.0	hap1	HiFi
PR01227	Nx	81	11756940.0	hap1	HiFi
PR01227	Nx	82	10983003.0	hap1	HiFi
PR01227	Nx	83	10386746.0	hap1	HiFi
PR01227	Nx	84	9727567.0	hap1	HiFi
PR01227	Nx	85	8551519.0	hap1	HiFi
PR01227	Nx	86	7478838.0	hap1	HiFi
PR01227	Nx	87	7110064.0	hap1	HiFi
PR01227	Nx	88	5604630.0	hap1	HiFi
PR01227	Nx	89	5241832.0	hap1	HiFi
PR01227	Nx	90	4698739.0	hap1	HiFi
PR01227	Nx	91	4250171.0	hap1	HiFi
PR01227	Nx	92	3556133.0	hap1	HiFi
PR01227	Nx	93	3010006.0	hap1	HiFi
PR01227	Nx	94	2619447.0	hap1	HiFi
PR01227	Nx	95	1997794.0	hap1	HiFi
PR01227	Nx	96	1559045.0	hap1	HiFi
PR01227	Nx	97	1141632.0	hap1	HiFi
PR01227	Nx	98	831411.0	hap1	HiFi
PR01227	Nx	99	337396.0	hap1	HiFi
PR01227	Nx	100	11041.0	hap1	HiFi
PR01227	Lx	1	135230377.0	hap1	HiFi
PR01227	Lx	2	135230377.0	hap1	HiFi
PR01227	Lx	3	135230377.0	hap1	HiFi
PR01227	Lx	4	135230377.0	hap1	HiFi
PR01227	Lx	5	134678745.0	hap1	HiFi
PR01227	Lx	6	134678745.0	hap1	HiFi
PR01227	Lx	7	134678745.0	hap1	HiFi
PR01227	Lx	8	134678745.0	hap1	HiFi
PR01227	Lx	9	134678745.0	hap1	HiFi
PR01227	Lx	10	134581458.0	hap1	HiFi
PR01227	Lx	11	134581458.0	hap1	HiFi
PR01227	Lx	12	134581458.0	hap1	HiFi
PR01227	Lx	13	134581458.0	hap1	HiFi
