name,variant_type,Bonobo,Chimpanzee,Human,description,post_mean,selection_regime
A1BG,SNVs,3,3,3,alpha-1-B glycoprotein,0.00104629,Strong selection
A1CF,SNVs,3,3,3,APOBEC1 complementation factor,0.017065,Extreme selection
A2M,SNVs,0,3,3,alpha-2-macroglobulin,0.00867342,Strong selection
A2ML1,SNVs,3,3,4,alpha-2-macroglobulin like 1,6.8834e-4,Weak selection
A3GALT2,SNVs,3,3,4,alpha 1%2C3-galactosyltransferase 2,0.0012866,Strong selection
A4GALT,SNVs,3,3,3,alpha 1%2C4-galactosyltransferase (P1PK blood group),0.00389881,Strong selection
A4GNT,SNVs,3,3,3,alpha-1%2C4-N-acetylglucosaminyltransferase,0.00131279,Strong selection
AAAS,SNVs,2,3,3,aladin WD repeat nucleoporin,0.00184742,Strong selection
AACS,SNVs,1,3,3,acetoacetyl-CoA synthetase,6.7029e-4,Weak selection
AADAC,SNVs,3,3,3,arylacetamide deacetylase,6.9681e-4,Weak selection
AADACL2,SNVs,1,3,3,arylacetamide deacetylase like 2,7.9853e-4,Weak selection
AADACL3,SNVs,3,3,4,arylacetamide deacetylase like 3,0.00236964,Strong selection
AADACL4,SNVs,3,3,2,arylacetamide deacetylase like 4,7.562e-4,Weak selection
AADAT,SNVs,2,3,4,aminoadipate aminotransferase,0.0267945,Extreme selection
AAGAB,SNVs,1,2,4,alpha and gamma adaptin binding protein,0.00226631,Strong selection
AAK1,SNVs,2,3,3,AP2 associated kinase 1,0.198971,Extreme selection
AAMDC,SNVs,3,3,3,adipogenesis associated Mth938 domain containing,8.8401e-4,Weak selection
AAMP,SNVs,2,3,3,angio associated migratory cell protein,0.0790104,Extreme selection
AANAT,SNVs,2,3,3,aralkylamine N-acetyltransferase,9.212e-4,Weak selection
AAR2,SNVs,1,3,2,AAR2 splicing factor,0.00588871,Strong selection
AARD,SNVs,1,3,3,alanine and arginine rich domain containing protein,0.00254795,Strong selection
AARS1,SNVs,3,4,3,alanyl-tRNA synthetase 1,0.0224592,Extreme selection
AARS2,SNVs,3,3,3,alanyl-tRNA synthetase 2%2C mitochondrial,0.00593754,Strong selection
AARSD1,SNVs,3,3,3,alanyl-tRNA synthetase domain containing 1,0.0010442,Strong selection
AASDH,SNVs,3,4,3,aminoadipate-semialdehyde dehydrogenase,0.00225394,Strong selection
AASDHPPT,SNVs,1,3,2,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,0.010343,Extreme selection
AASS,SNVs,3,3,3,aminoadipate-semialdehyde synthase,0.00653841,Strong selection
AATK,SNVs,3,3,3,apoptosis associated tyrosine kinase,0.0451463,Extreme selection
ABAT,SNVs,3,3,3,4-aminobutyrate aminotransferase,0.0326258,Extreme selection
ABCA1,SNVs,3,3,3,ATP binding cassette subfamily A member 1,0.0364149,Extreme selection
ABCA10,SNVs,3,4,4,ATP binding cassette subfamily A member 10,8.2135e-4,Weak selection
ABCA12,SNVs,3,3,4,ATP binding cassette subfamily A member 12,0.0174258,Extreme selection
ABCA13,SNVs,3,3,3,ATP binding cassette subfamily A member 13,2.6906e-4,Weak selection
ABCA2,SNVs,4,3,4,ATP binding cassette subfamily A member 2,0.0804204,Extreme selection
ABCA3,SNVs,3,3,3,ATP binding cassette subfamily A member 3,0.0310788,Extreme selection
ABCA4,SNVs,3,4,3,ATP binding cassette subfamily A member 4,0.00226763,Strong selection
ABCA5,SNVs,4,3,3,ATP binding cassette subfamily A member 5,0.00243458,Strong selection
ABCA6,SNVs,3,3,3,ATP binding cassette subfamily A member 6,6.1696e-4,Weak selection
ABCA7,SNVs,3,4,4,ATP binding cassette subfamily A member 7,4.512e-4,Weak selection
ABCA8,SNVs,3,4,3,ATP binding cassette subfamily A member 8,5.1256e-4,Weak selection
ABCA9,SNVs,4,3,3,ATP binding cassette subfamily A member 9,9.9395e-4,Weak selection
ABCB1,SNVs,3,3,3,ATP binding cassette subfamily B member 1,0.0296255,Extreme selection
ABCB10,SNVs,3,3,3,ATP binding cassette subfamily B member 10,0.0136436,Extreme selection
ABCB11,SNVs,3,3,3,ATP binding cassette subfamily B member 11,0.00617916,Strong selection
ABCB4,SNVs,3,3,3,ATP binding cassette subfamily B member 4,0.0227621,Extreme selection
ABCB5,SNVs,3,3,4,ATP binding cassette subfamily B member 5,2.8203e-4,Weak selection
ABCB6,SNVs,2,3,3,ATP binding cassette subfamily B member 6 (LAN blood group),8.3437e-4,Weak selection
ABCB7,SNVs,1,2,4,ATP binding cassette subfamily B member 7,0.416105,Extreme selection
ABCB8,SNVs,3,3,3,ATP binding cassette subfamily B member 8,0.0011839,Strong selection
ABCB9,SNVs,3,3,3,ATP binding cassette subfamily B member 9,0.00710026,Strong selection
ABCC1,SNVs,3,3,3,ATP binding cassette subfamily C member 1 (ABCC1 blood group),0.0324323,Extreme selection
ABCC10,SNVs,3,3,3,ATP binding cassette subfamily C member 10,0.00113813,Strong selection
ABCC11,SNVs,3,3,4,ATP binding cassette subfamily C member 11,3.4754e-4,Weak selection
ABCC12,SNVs,3,3,4,ATP binding cassette subfamily C member 12,2.6314e-4,Weak selection
ABCC2,SNVs,3,3,4,ATP binding cassette subfamily C member 2,4.2178e-4,Weak selection
