pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	in_Cen	in_Telo	in_CenSat	in_SegDup	region
Central	chr10_hap1_hsa12	10001	20000	0.10082304526749	81	FALSE	FALSE	TRUE	TRUE	CenSat
Central	chr10_hap1_hsa12	60001	70000	0.0533333333333333	25	FALSE	FALSE	FALSE	TRUE	SegDup
Central	chr10_hap1_hsa12	190001	200000	0.118161925601751	457	FALSE	FALSE	TRUE	TRUE	CenSat
Central	chr10_hap1_hsa12	200001	210000	0.130434782608696	23	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	210001	220000	0.0625	24	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	1960001	1970000	0.102564102564103	39	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	1970001	1980000	0.0789473684210526	76	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	2230001	2240000	0.188888888888889	15	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	2360001	2370000	0.0666666666666666	15	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	2490001	2500000	0.172413793103448	58	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	3990001	4000000	0.148148148148148	9	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	4000001	4010000	0.222222222222222	18	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	4040001	4050000	0.121399176954733	81	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	4090001	4100000	0.0878048780487804	205	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	4100001	4110000	0.0239427860696517	536	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	4130001	4140000	0.0833333333333333	34	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	4140001	4150000	0.0809061488673139	103	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	4150001	4160000	0.0983606557377049	11	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	4680001	4690000	0.0849673202614379	51	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	4690001	4700000	0.139737991266376	124	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	4700001	4710000	0.111111111111111	18	FALSE	FALSE	TRUE	FALSE	CenSat
Central	chr10_hap1_hsa12	5090001	5100000	0.162962962962963	90	FALSE	FALSE	TRUE	FALSE	CenSat
