contig	corrected_label	gene_start	gene_end	is_fusion	fusion_detail	transcript
PR01227.hap1	GYPB	152656	178913	no		XM_011531904.4_3
PR01227.hap1	GYPE	255532	290338	no		NM_198682.3
PR01227.hap1	GYPB	379531	407115	no		XM_011531904.4_2
PR01227.hap1	GYPB	488553	512008	no		NM_002100.6
PR01227.hap1	GYPA	609184	645849	YES	"GYPB(bp1-121,97%) -> GYPA(bp122-453,97%)"	NM_002099.8
PR01227.hap1	GYPB	738704	765038	YES	"GYPA(bp1-95,90%) -> GYPB(bp96-264,82%)"	XM_011531904.4_1
PR01227.hap2	GYPE	145388	175138	no		NM_198682.3_1
PR01227.hap2	GYPE	251785	286538	no		NM_198682.3
PR01227.hap2	GYPB	375757	399215	no		NM_002100.6
PR01227.hap2	GYPA	489397	520832	no		NM_002099.8
PR01223.hap1	GYPB	148871	175034	no		XM_011531904.4_3
PR01223.hap1	GYPE	255977	290700	no		NM_198682.3
PR01223.hap1	GYPB	379960	407544	no		XM_011531904.4_2
PR01223.hap1	GYPB	489520	512979	no		NM_002100.6
PR01223.hap1	GYPA	610135	646803	YES	"GYPB(bp1-121,97%) -> GYPA(bp122-453,97%)"	NM_002099.8
PR01223.hap1	GYPB	739678	766013	YES	"GYPA(bp1-95,90%) -> GYPB(bp96-264,82%)"	XM_011531904.4_1
PR01223.hap2	GYPE	152275	182055	no		NM_198682.3_1
PR01223.hap2	GYPE	258677	293375	no		NM_198682.3
PR01223.hap2	GYPB	382633	410210	no		XM_011531904.4_1
PR01223.hap2	GYPB	491890	515393	no		NM_002100.6
PR01223.hap2	GYPA	606426	637892	no		NM_002099.8
PR00512.hap1	GYPB	148873	175137	no		XM_011531904.4_3
PR00512.hap1	GYPE	251769	286593	no		NM_198682.3
PR00512.hap1	GYPB	375785	403364	no		XM_011531904.4_2
PR00512.hap1	GYPB	484801	508256	no		NM_002100.6
PR00512.hap1	GYPA	605441	642106	YES	"GYPB(bp1-121,97%) -> GYPA(bp122-453,97%)"	NM_002099.8
