sample,sequence,count
AG06939_13.hap1.chr,chr1_hap1_hsa1,10
AG06939_13.hap1.chr,chr2_hap1_hsa3,4
AG06939_13.hap1.chr,chr3_hap1_hsa4,4
AG06939_13.hap1.chr,chr4_hap1_hsa5,4
AG06939_13.hap1.chr,chr5_hap1_hsa6,6
AG06939_13.hap1.chr,chr6_hap1_hsa7,13
AG06939_13.hap1.chr,chr7_hap1_hsa8,10
AG06939_13.hap1.chr,chr8_hap1_hsa10,15
AG06939_13.hap1.chr,chr9_hap1_hsa11,5
AG06939_13.hap1.chr,chr10_hap1_hsa12,6
AG06939_13.hap1.chr,chr11_hap1_hsa9,10
AG06939_13.hap1.chr,chr12_hap1_hsa2a,13
AG06939_13.hap1.chr,chr13_hap1_hsa2b,7
AG06939_13.hap1.chr,chr14_hap1_hsa13,7
AG06939_13.hap1.chr,chr15_hap1_hsa14,4
AG06939_13.hap1.chr,chr16_hap1_hsa15,7
AG06939_13.hap1.chr,chr17_hap1_hsa18,5
AG06939_13.hap1.chr,chr18_hap1_hsa16,13
AG06939_13.hap1.chr,chr19_hap1_hsa17,7
AG06939_13.hap1.chr,chr20_hap1_hsa19,25
AG06939_13.hap1.chr,chr21_hap1_hsa20,10
AG06939_13.hap1.chr,chr22_hap1_hsa21,12
AG06939_13.hap1.chr,chr23_hap1_hsa22,8
AG06939_13.hap1.chr,chrX_hap1_hsaX,11
AG06939_13.hap1.chr,chrY_hap2_hsaY,4
AG06939_13.hap2.chr,chr1_hap1_hsa1,6
AG06939_13.hap2.chr,chr2_hap1_hsa3,5
AG06939_13.hap2.chr,chr3_hap1_hsa4,2
AG06939_13.hap2.chr,chr4_hap1_hsa5,7
AG06939_13.hap2.chr,chr5_hap1_hsa6,3
AG06939_13.hap2.chr,chr6_hap1_hsa7,11
AG06939_13.hap2.chr,chr7_hap1_hsa8,3
AG06939_13.hap2.chr,chr8_hap1_hsa10,7
AG06939_13.hap2.chr,chr9_hap1_hsa11,0
AG06939_13.hap2.chr,chr10_hap1_hsa12,5
AG06939_13.hap2.chr,chr11_hap1_hsa9,7
AG06939_13.hap2.chr,chr12_hap1_hsa2a,11
AG06939_13.hap2.chr,chr13_hap1_hsa2b,2
AG06939_13.hap2.chr,chr14_hap1_hsa13,9
AG06939_13.hap2.chr,chr15_hap1_hsa14,3
AG06939_13.hap2.chr,chr16_hap1_hsa15,7
AG06939_13.hap2.chr,chr17_hap1_hsa18,6
AG06939_13.hap2.chr,chr18_hap1_hsa16,14
AG06939_13.hap2.chr,chr19_hap1_hsa17,2
AG06939_13.hap2.chr,chr20_hap1_hsa19,11
AG06939_13.hap2.chr,chr21_hap1_hsa20,3
AG06939_13.hap2.chr,chr22_hap1_hsa21,7
AG06939_13.hap2.chr,chr23_hap1_hsa22,4
AG06939_13.hap2.chr,chrX_hap1_hsaX,9
AG06939_13.hap2.chr,chrY_hap2_hsaY,2
AG16618_12.hap1.chr,chr1_hap1_hsa1,13
AG16618_12.hap1.chr,chr2_hap1_hsa3,7
AG16618_12.hap1.chr,chr3_hap1_hsa4,15
AG16618_12.hap1.chr,chr4_hap1_hsa5,2
AG16618_12.hap1.chr,chr5_hap1_hsa6,6
AG16618_12.hap1.chr,chr6_hap1_hsa7,15
AG16618_12.hap1.chr,chr7_hap1_hsa8,9
AG16618_12.hap1.chr,chr8_hap1_hsa10,15
AG16618_12.hap1.chr,chr9_hap1_hsa11,6
AG16618_12.hap1.chr,chr10_hap1_hsa12,6
AG16618_12.hap1.chr,chr11_hap1_hsa9,14
AG16618_12.hap1.chr,chr12_hap1_hsa2a,6
AG16618_12.hap1.chr,chr13_hap1_hsa2b,21
AG16618_12.hap1.chr,chr14_hap1_hsa13,11
AG16618_12.hap1.chr,chr15_hap1_hsa14,7
AG16618_12.hap1.chr,chr16_hap1_hsa15,9
AG16618_12.hap1.chr,chr17_hap1_hsa18,8
AG16618_12.hap1.chr,chr18_hap1_hsa16,13
AG16618_12.hap1.chr,chr19_hap1_hsa17,14
AG16618_12.hap1.chr,chr20_hap1_hsa19,10
AG16618_12.hap1.chr,chr21_hap1_hsa20,15
AG16618_12.hap1.chr,chr22_hap1_hsa21,10
AG16618_12.hap1.chr,chr23_hap1_hsa22,14
AG16618_12.hap1.chr,chrX_hap1_hsaX,7
AG16618_12.hap1.chr,chrY_hap2_hsaY,6
AG16618_12.hap2.chr,chr1_hap1_hsa1,10
AG16618_12.hap2.chr,chr2_hap1_hsa3,9
AG16618_12.hap2.chr,chr3_hap1_hsa4,9
AG16618_12.hap2.chr,chr4_hap1_hsa5,2
AG16618_12.hap2.chr,chr5_hap1_hsa6,9
AG16618_12.hap2.chr,chr6_hap1_hsa7,15
AG16618_12.hap2.chr,chr7_hap1_hsa8,13
AG16618_12.hap2.chr,chr8_hap1_hsa10,7
AG16618_12.hap2.chr,chr9_hap1_hsa11,8
AG16618_12.hap2.chr,chr10_hap1_hsa12,3
AG16618_12.hap2.chr,chr11_hap1_hsa9,11
AG16618_12.hap2.chr,chr12_hap1_hsa2a,7
AG16618_12.hap2.chr,chr13_hap1_hsa2b,14
