genes,genes_renamed,descriptions
LOC100974335,OR6A2,olfactory receptor 6A2
LOC100975254,SDHA,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial-like
LOC100982294,HLA-C ,class I histocompatibility antigen%2C Gogo-C*0202 alpha chain
LOC100987802,IGHV3-30,immunoglobulin heavy variable 3-30-like
LOC117975702,IGHV3-30,immunoglobulin heavy variable 3-30-like
LOC117978393,SSU72,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like
LOC129393320,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like
LOC129393322,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like
LOC129393325,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like
LOC129393326,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2
LOC129393358,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like
LOC129393404,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like
LOC129393906,PRAMEF1,PRAME family member 1-like
LOC129393928,PRAMEF11,PRAME family member 11-like
LOC129394588,TUBB8B,tubulin beta 8B-like
LOC129394797,RFPL4A,ret finger protein-like 4A
LOC129394802,RFPL4A,ret finger protein-like 4A
LOC129394818,RFPL4A,ret finger protein-like 4A
LOC129394899,PGM5,phosphoglucomutase-like protein 5
LOC134729312,SRRM1,serine/arginine repetitive matrix protein 1-like
LOC134729581,RFPL4A,ret finger protein-like 4A
