RefSeq	Chrom	Chr	common	scientific	sample	ID	GenBank 
NC_072398.2	chr1_hap1_hsa1	1	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054434.2
NC_086015.1	chr2_hap1_hsa3	2	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM068905.1
NC_072401.2	chr3_hap1_hsa4	3	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054437.2
NC_072402.2	chr4_hap1_hsa5	4	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054438.2
NC_072403.2	chr5_hap1_hsa6	5	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054439.2
NC_072404.2	chr6_hap1_hsa7	6	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054440.2
NC_072405.2	chr7_hap1_hsa8	7	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054441.2
NC_072406.2	chr8_hap1_hsa10	8	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054442.2
NC_072407.2	chr9_hap1_hsa11	9	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054443.2
NC_072408.2	chr10_hap1_hsa12	10	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054444.2
NC_072409.2	chr11_hap1_hsa9	11	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054445.2
NC_072410.2	chr12_hap1_hsa2a	12	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054446.2
NC_072411.2	chr13_hap1_hsa2b	13	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054447.2
NC_072412.2	chr14_hap1_hsa13	14	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054448.2
NC_072413.2	chr15_hap1_hsa14	15	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054449.2
NC_072414.2	chr16_hap1_hsa15	16	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054450.2
NC_072415.2	chr17_hap1_hsa18	17	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054451.2
NC_072416.2	chr18_hap1_hsa16	18	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054452.2
NC_072417.2	chr19_hap1_hsa17	19	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054453.2
NC_072418.2	chr20_hap1_hsa19	20	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054454.2
NC_072419.2	chr21_hap1_hsa20	21	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054455.2
NC_072420.2	chr22_hap1_hsa21	22	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054456.2
NC_086016.1	chr23_hap1_hsa22	23	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM068906.1
NC_072421.2	chrX_hap1_hsaX	X	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054457.2
NC_072422.2	chrY_hap2_hsaY	Y	Chimpanzee	Pan troglodytes	AG18354 (non-Clint)	mPanTro3	CM054458.2
