#sample.id	haplotype.1	haplotype.2	cluster.1	cluster.2	cosine.similarity
PR00052	AG18357_3#2#h2tg000002l:38448652-39184196	PR01100#1#h1tg000022l:22951664-23687101	HaploGroup1	HaploGroup1	0.9378182320878197
PR00115	PR00115#1#h1tg000008l:46986008-47720060	PR00115#2#h2tg000101l:41401689-42037071	HaploGroup1	HaploGroup6	0.9391597707095251
PR00400	AG18356_6#1#h1tg000009l:38451028-39186406	PR00115#2#h2tg000101l:41401689-42037071	HaploGroup1	HaploGroup6	0.9400478871703467
PR00512	AG18354_5#2#h2tg000004l:45638852-46508232	AG18361_10#2#h2tg000026l:140132060-140867671	HaploGroup3	HaploGroup1	0.9580483193211984
PR00548	AG18356_6#1#h1tg000009l:38451028-39186406	PR00512#2#h2tg000076l:22781836-23521126	HaploGroup1	HaploGroup1	0.9491295530845674
PR00657	AG18356_6#1#h1tg000009l:38451028-39186406	AG18361_10#2#h2tg000026l:140132060-140867671	HaploGroup1	HaploGroup1	0.9503524002688408
PR00730	PR01100#2#h2tg000094l:3483026-4218638	PR01223#2#h2tg000044l:18365490-19107873	HaploGroup1	HaploGroup1	0.9531957630709748
PR00732	PR01100#2#h2tg000094l:3483026-4218638	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup1	HaploGroup1	0.9512907054047428
PR00738	PR01100#2#h2tg000094l:3483026-4218638	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup1	HaploGroup1	0.9430617306541291
PR00744	PR00512#2#h2tg000076l:22781836-23521126	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup1	HaploGroup1	0.9450580658846814
PR00818	PR00512#1#h1tg000068l:22757246-23622984	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup3	HaploGroup1	0.9522288093657080
PR00826	PR01223#1#h1tg000057l:11818538-12689006	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup3	HaploGroup1	0.9579425933542128
PR00834	PR00834#1#h1tg000052l:21130040-21801418	PR00838#1#h1tg000019l:12072711-12811936	HaploGroup7	HaploGroup1	0.9428832388009487
PR00838	PR00115#1#h1tg000008l:46986008-47720060	PR00834#2#h2tg000004l:11790414-12529642	HaploGroup1	HaploGroup1	0.9454503258914291
PR01008	PR01008#2#haplotype2-0000129:47159956-47937929	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup8	HaploGroup1	0.9298319980317927
PR01009	PR01009#2#h2tg000056l:4909437-5320747	PR01010#2#haplotype2-0000055:46817131-47460770	HaploGroup10	HaploGroup9	0.9078554005390030
PR01010	PR01010#1#haplotype1-0000011:145990332-146736231	PR01010#2#haplotype2-0000055:46817131-47460770	HaploGroup1	HaploGroup9	0.9381100467523994
PR01057	PR01100#1#h1tg000022l:22951664-23687101	PR01227#1#haplotype1-0000002:45915589-46785084	HaploGroup1	HaploGroup3	0.9596791747138964
PR01084	PR01100#1#h1tg000022l:22951664-23687101	PR01223#2#h2tg000044l:18365490-19107873	HaploGroup1	HaploGroup1	0.9428170183902104
PR01089	AG18361_10#2#h2tg000026l:140132060-140867671	PR01223#2#h2tg000044l:18365490-19107873	HaploGroup1	HaploGroup1	0.9342754137172622
PR01105	PR01225#1#h1tg000045l:21152845-21888192	mPanTro3#1#chr3_hap1_hsa4:145167459-146036838	HaploGroup1	HaploGroup3	0.9591704063655243
PR01171	PR01100#1#h1tg000022l:22951664-23687101	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup1	HaploGroup1	0.9239105753191880
PR01178	AG18358_4#2#h2tg000016l:45688219-46557693	AG18361_10#2#h2tg000026l:140132060-140867671	HaploGroup3	HaploGroup1	0.9588140797099327
PR01209	PR00115#2#h2tg000101l:41401689-42037071	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup6	HaploGroup1	0.9438790450388557
PR01222	AG18354_5#2#h2tg000004l:45638852-46508232	PR01225#2#h2tg000017l:11791316-12416675	HaploGroup3	HaploGroup4	0.9351685861160036
PR01223	PR00512#1#h1tg000068l:22757246-23622984	PR01223#2#h2tg000044l:18365490-19107873	HaploGroup3	HaploGroup1	0.9634291395940536
PR01225	PR01225#1#h1tg000045l:21152845-21888192	PR01225#2#h2tg000017l:11791316-12416675	HaploGroup1	HaploGroup4	0.9478805815100221
PR01227	PR01225#2#h2tg000017l:11791316-12416675	PR01227#1#haplotype1-0000002:45915589-46785084	HaploGroup4	HaploGroup3	0.9541826959413122
PR01228	PR01100#2#h2tg000094l:3483026-4218638	PR01223#2#h2tg000044l:18365490-19107873	HaploGroup1	HaploGroup1	0.9506253484170245
