#sample.id	haplotype.1	haplotype.2	cluster.1	cluster.2	cosine.similarity
SAMEA4374763	AG18353_9#1#h1tg000001l:45697636-46436853	AG18360_11#1#h1tg000008l:11812212-12550865	HaploGroup1	HaploGroup1	0.8972542554053359
SAMEA4374764	AG18360_11#1#h1tg000008l:11812212-12550865	PR00838#2#h2tg000136l:5581115-6319805	HaploGroup1	HaploGroup1	0.8316424523590459
SAMEA4374765	AG18353_9#1#h1tg000001l:45697636-46436853	AG18360_11#1#h1tg000008l:11812212-12550865	HaploGroup1	HaploGroup1	0.7453805106413635
SAMEA4374766	PR01100#1#h1tg000022l:22951664-23687101	PR01227#2#haplotype2-0000142:46260732-46886074	HaploGroup1	HaploGroup4	0.9793578951642371
SAMEA4374767	AG18356_6#1#h1tg000009l:38451028-39186406	AG18361_10#2#h2tg000026l:140132060-140867671	HaploGroup1	HaploGroup1	0.9803749886593357
SAMEA4374768	AG18354_5#2#h2tg000004l:45638852-46508232	PR01100#2#h2tg000094l:3483026-4218638	HaploGroup3	HaploGroup1	0.9279532467678093
SAMEA4374769	AG18354_5#2#h2tg000004l:45638852-46508232	AG18361_10#2#h2tg000026l:140132060-140867671	HaploGroup3	HaploGroup1	0.8891329479463688
SAMEA4374770	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9763873669819078
SAMEA4374771	PR00115#1#h1tg000008l:46986008-47720060	PR00512#2#h2tg000076l:22781836-23521126	HaploGroup1	HaploGroup1	0.9775683760123405
SAMEA4374772	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9748073468298978
SAMEA4374773	PR00496A#1#h1tg000173l:16038885-16771830	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9636628730509760
SAMEA4374774	PR01010#1#haplotype1-0000011:145990332-146736231	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup1	HaploGroup1	0.9563905972061204
SAMEA4374775	PR00838#2#h2tg000136l:5581115-6319805	PR01009#2#h2tg000056l:4909437-5320747	HaploGroup1	HaploGroup10	0.8385093304906401
SAMEA4374776	PR01010#1#haplotype1-0000011:145990332-146736231	PR01223#2#h2tg000044l:18365490-19107873	HaploGroup1	HaploGroup1	0.9703661646080959
SAMEA4374777	PR00496A#1#h1tg000173l:16038885-16771830	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9784317517473657
SAMEA4374778	AG18360_11#1#h1tg000008l:11812212-12550865	PR00115#1#h1tg000008l:46986008-47720060	HaploGroup1	HaploGroup1	0.9608665970687701
SAMEA4374779	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9786458954522799
SAMEA4374780	PR00496A#1#h1tg000173l:16038885-16771830	PR01009#1#h1tg000093l:22862114-23505758	HaploGroup1	HaploGroup9	0.9565998841802633
SAMEA4374781	PR00115#1#h1tg000008l:46986008-47720060	PR00512#2#h2tg000076l:22781836-23521126	HaploGroup1	HaploGroup1	0.9700541172406620
SAMEA4374782	AG18357_3#2#h2tg000002l:38448652-39184196	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9796617546819172
SAMEA4374785	PR01010#1#haplotype1-0000011:145990332-146736231	PR01010#2#haplotype2-0000055:46817131-47460770	HaploGroup1	HaploGroup9	0.9745579237613956
SAMEA4374787	AG16618_12#2#h2tg000039l:15907744-16419518	AG18360_11#1#h1tg000008l:11812212-12550865	HaploGroup2	HaploGroup1	0.7261219182336925
SAMEA4374788	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9851620209637165
SAMEA4374789	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9804131474847882
SAMEA4374790	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.8777551435690742
SAMEA4374791	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9622356506913254
SAMEA4374792	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9193922408356698
SAMEA4374793	PR00115#1#h1tg000008l:46986008-47720060	PR00512#2#h2tg000076l:22781836-23521126	HaploGroup1	HaploGroup1	0.9739896163309224
SAMEA4374794	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9771034715422188
SAMEA4374795	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9674233432200354
SAMEA4374796	PR00115#1#h1tg000008l:46986008-47720060	PR00512#2#h2tg000076l:22781836-23521126	HaploGroup1	HaploGroup1	0.9779652394677129
SAMEA4374797	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9785041308018109
SAMEA4374798	PR00115#1#h1tg000008l:46986008-47720060	PR01009#1#h1tg000093l:22862114-23505758	HaploGroup1	HaploGroup9	0.9777207100502155
SAMEA4374799	AG18360_11#1#h1tg000008l:11812212-12550865	PR01008#2#haplotype2-0000129:47159956-47937929	HaploGroup1	HaploGroup8	0.9556098584059881
SAMN01920504	PR01010#1#haplotype1-0000011:145990332-146736231	PR01223#2#h2tg000044l:18365490-19107873	HaploGroup1	HaploGroup1	0.9479371735678683
SAMN01920505	PR01010#1#haplotype1-0000011:145990332-146736231	PR01223#2#h2tg000044l:18365490-19107873	HaploGroup1	HaploGroup1	0.9611001018036907
SAMN01920506	AG18356_6#2#h2tg000017l:39013024-39516727	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup5	HaploGroup1	0.9482064765242727
SAMN01920507	AG18355_8#1#h1tg000020l:41920875-42546234	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup4	HaploGroup1	0.9430121564866425
SAMN01920508	AG18355_8#1#h1tg000020l:41920875-42546234	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup4	HaploGroup1	0.9404427983128265
SAMN01920509	AG18355_8#1#h1tg000020l:41920875-42546234	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup4	HaploGroup1	0.9419723248021428
SAMN01920510	AG18355_8#1#h1tg000020l:41920875-42546234	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup4	HaploGroup1	0.9171431859667921
SAMN01920511	AG18355_8#1#h1tg000020l:41920875-42546234	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup4	HaploGroup1	0.9489955517340078
SAMN01920512	AG18355_8#1#h1tg000020l:41920875-42546234	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup4	HaploGroup1	0.9342541260356849
