chromosome,start,end,population,genes,gene_biotypes,descriptions,T_within_myr,Tpooled_Twithin_ratio
chr2,89254000,89255000,EUR,"IGK,IGKV2-30",NA,NA,0.058939176,74.01711388
chr2,89255000,89256000,EUR,IGK,other,immunoglobulin kappa locus,0.058939176,70.80292467
chr2,89250000,89251000,EUR,"IGK,LOC107985910",NA,NA,0.058939176,59.81224781
chr18,60220000,60221000,SAS,SINHCAFP2,NA,NA,0.030593744,47.14244874
chr22,6593000,6594000,SAS,LOC124908434,protein_coding,ankyrin repeat domain-containing protein 36B-like,0.124647272,38.32543406
chr22,6587000,6588000,SAS,"LOC124908434,LOC124908446",NA,NA,0.124647272,37.04083238
chr2,89243000,89244000,EUR,"IGK,IGKV2-29",NA,NA,0.071908336,33.0402483
chr6,32355000,32356000,EUR,HLA-DRB3,protein_coding,major histocompatibility complex%2C class II%2C DR beta 3,0.166974835,29.61842012
chr1,86991000,86992000,EUR,LINC01140,lncRNA,long intergenic non-protein coding RNA 1140,0.089713208,24.47718345
chr5,71331000,71332000,EUR,GUSBP15,NA,NA,0.045325664,24.37083601
chr9,82247000,82248000,SAS,MAMDC2,protein_coding,MAM domain containing 2,0.095988171,23.307768
chr18,75182000,75183000,SAS,ZNF407,protein_coding,zinc finger protein 407,0.097520117,22.86784253
chr2,180177000,180178000,SAS,ZNF385B,protein_coding,zinc finger protein 385B,0.043216931,22.21928233
chr6,85313000,85314000,EUR,MRAP2,protein_coding,melanocortin 2 receptor accessory protein 2,0.110083864,22.18346736
chr9,82326000,82327000,SAS,"MAMDC2,MAMDC2-AS1",NA,NA,0.111846051,21.64145129
chr1,243675000,243676000,SAS,LOC105373262,lncRNA,uncharacterized LOC105373262,0.102646672,21.63868744
chr21,10682000,10683000,EUR,BAGE2,NA,NA,0.155571402,21.4287563
chr6,159140000,159141000,EUR,SNX9,protein_coding,sorting nexin 9,0.079117404,20.66691713
chr3,8535000,8536000,EUR,LMCD1,protein_coding,LIM and cysteine rich domains 1,0.085210982,19.77110872
chr9,39209000,39210000,EUR,CNTNAP3,protein_coding,contactin associated protein family member 3,0.120542574,19.65978835
chr9,9611000,9612000,SAS,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D,0.091141432,19.52470142
chr6,159139000,159140000,EUR,"SNX9,SNX9-AS1",NA,NA,0.077798173,19.37845302
chr6,32484000,32485000,EUR,HLA-DQB1,protein_coding,major histocompatibility complex%2C class II%2C DQ beta 1,0.109110209,18.45760722
chr1,174949000,174950000,SAS,TNR,protein_coding,tenascin R,0.080865673,18.23901587
chr21,13919000,13920000,SAS,LOC105369302,lncRNA,uncharacterized LOC105369302,0.092505461,18.219598
chr4,102737000,102738000,SAS,ADH7,protein_coding,alcohol dehydrogenase 7 (class IV)%2C mu or sigma polypeptide,0.076784922,17.92976244
chr7,155708000,155709000,SAS,DPP6,protein_coding,dipeptidyl peptidase like 6,0.078726843,17.89888576
chr6,40885000,40886000,SAS,APOBEC2,protein_coding,apolipoprotein B mRNA editing enzyme catalytic subunit 2,0.07633918,17.80484044
chr6,32483000,32484000,EUR,"HLA-DQB1,HLA-DQB1-AS1",NA,NA,0.109110209,17.74432015
chr4,111867000,111868000,EUR,RPL34-DT,lncRNA,RPL34 divergent transcript,0.09089961,17.37578728
chr11,61049000,61050000,SAS,CD5,protein_coding,CD5 molecule,0.088143056,17.37421435
chr13,32842000,32843000,SAS,STARD13,protein_coding,StAR related lipid transfer domain containing 13,0.150396087,17.06856921
chr6,40902000,40903000,SAS,"OARD1,NFYA",NA,NA,0.071888066,17.02127117
chr18,55035000,55036000,SAS,RAB27B,protein_coding,RAB27B%2C member RAS oncogene family,0.052090679,16.70482884
chr5,27090000,27091000,EUR,CDH9,protein_coding,cadherin 9,0.132656642,16.64948831
chr17,7392000,7393000,SAS,POLR2A,protein_coding,RNA polymerase II subunit A,0.130858078,16.61498981
chr4,89497000,89498000,EUR,"MAPK10,MAPK10-AS1",NA,NA,0.116834674,16.26156089
chr14,62800000,62801000,SAS,"RAD51B,LOC124907418",NA,NA,0.095566784,16.24449516
chr2,205786000,205787000,SAS,PARD3B,protein_coding,par-3 family cell polarity regulator beta,0.142445793,16.23994474
chr1,204116000,204117000,SAS,NFASC,protein_coding,neurofascin,0.097356042,16.23812372
chr5,1969000,1970000,EUR,LOC105374618,lncRNA,uncharacterized LOC105374618,0.117406131,16.1215897
chr1,218986000,218987000,SAS,LOC105372926,lncRNA,uncharacterized LOC105372926,0.161417702,16.07601879
chr2,30300000,30301000,SAS,LBH,protein_coding,LBH regulator of WNT signaling pathway,0.140496897,16.03245313
chr14,72711000,72712000,EUR,NRXN3,protein_coding,neurexin 3,0.155069726,16.00787659
chr11,61106000,61107000,SAS,VPS37C,protein_coding,VPS37C subunit of ESCRT-I,0.075618059,15.92769946
chr6,32408000,32409000,EUR,HLA-DRB1,protein_coding,major histocompatibility complex%2C class II%2C DR beta 1,0.155341015,15.85289188
chr5,113606000,113607000,EUR,MCC,protein_coding,MCC regulator of WNT signaling pathway,0.163831408,15.50874065
chr1,18694000,18695000,EUR,ALDH4A1,protein_coding,aldehyde dehydrogenase 4 family member A1,0.256384836,15.31704
chr6,9574000,9575000,SAS,OFCC1,NA,NA,0.069496615,15.20129949
chr18,33453000,33454000,SAS,CCDC178,protein_coding,coiled-coil domain containing 178,0.085231718,15.08198008
chr5,161152000,161153000,SAS,ATP10B,protein_coding,ATPase phospholipid transporting 10B (putative),0.068753718,14.96831216
chr17,31979000,31980000,EUR,LOC107984974,NA,NA,0.192831552,14.9084582
chr8,55436000,55437000,EUR,LOC107986886,lncRNA,uncharacterized LOC107986886,0.228849403,14.88350532
chr17,31995000,31996000,EUR,LOC646030,NA,NA,0.122850828,14.87462315
chr2,95938000,95939000,EUR,GPAT2,protein_coding,glycerol-3-phosphate acyltransferase 2%2C mitochondrial,0.172442827,14.74644647
chr13,113326000,113327000,EUR,RASA3,protein_coding,RAS p21 protein activator 3,0.070048719,14.66247236
chr20,45347000,45348000,EUR,IFT52,protein_coding,intraflagellar transport 52,0.08130092,14.64093753
chr9,9561000,9562000,EUR,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D,0.09477666,14.56737931
chr9,132377000,132378000,SAS,LOC124902260,lncRNA,uncharacterized LOC124902260,0.087136003,14.52636731
