genes,descriptions,num_populations,is_shared,EUR,SAS,EAS,AMR,AFR
IGK,immunoglobulin kappa locus,2,Yes,74.01711388,NA,4.564281836,NA,NA
ZNF407,zinc finger protein 407,2,Yes,NA,22.86784253,4.216808121,NA,NA
BAGE2,,2,Yes,21.4287563,13.62318353,NA,NA,NA
CNTNAP3,contactin associated protein family member 3,2,Yes,19.65978835,NA,NA,NA,1.772062151
PTPRD,protein tyrosine phosphatase receptor type D,2,Yes,14.56737931,19.52470142,NA,NA,NA
DPP6,dipeptidyl peptidase like 6,2,Yes,NA,17.89888576,5.111247682,NA,NA
OFCC1,,2,Yes,NA,15.20129949,NA,NA,1.980976764
GPAT2,glycerol-3-phosphate acyltransferase 2%2C mitochondrial,2,Yes,14.74644647,NA,NA,NA,1.775233128
IGH,immunoglobulin heavy locus,2,Yes,NA,NA,5.34079982,NA,2.229763989
PACSIN1,protein kinase C and casein kinase substrate in neurons 1,2,Yes,NA,NA,NA,5.017425109,1.865890959
PTPRK,protein tyrosine phosphatase receptor type K,2,Yes,NA,NA,NA,3.826516347,1.812553774
SINHCAFP2,,1,No,NA,47.14244874,NA,NA,NA
LOC124908434,ankyrin repeat domain-containing protein 36B-like,1,No,NA,38.32543406,NA,NA,NA
HLA-DRB3,major histocompatibility complex%2C class II%2C DR beta 3,1,No,29.61842012,NA,NA,NA,NA
LINC01140,long intergenic non-protein coding RNA 1140,1,No,24.47718345,NA,NA,NA,NA
GUSBP15,,1,No,24.37083601,NA,NA,NA,NA
MAMDC2,MAM domain containing 2,1,No,NA,23.307768,NA,NA,NA
ZNF385B,zinc finger protein 385B,1,No,NA,22.21928233,NA,NA,NA
MRAP2,melanocortin 2 receptor accessory protein 2,1,No,22.18346736,NA,NA,NA,NA
LOC105373262,uncharacterized LOC105373262,1,No,NA,21.63868744,NA,NA,NA
SNX9,sorting nexin 9,1,No,20.66691713,NA,NA,NA,NA
LMCD1,LIM and cysteine rich domains 1,1,No,19.77110872,NA,NA,NA,NA
HLA-DQB1,major histocompatibility complex%2C class II%2C DQ beta 1,1,No,18.45760722,NA,NA,NA,NA
TNR,tenascin R,1,No,NA,18.23901587,NA,NA,NA
LOC105369302,uncharacterized LOC105369302,1,No,NA,18.219598,NA,NA,NA
ADH7,alcohol dehydrogenase 7 (class IV)%2C mu or sigma polypeptide,1,No,NA,17.92976244,NA,NA,NA
APOBEC2,apolipoprotein B mRNA editing enzyme catalytic subunit 2,1,No,NA,17.80484044,NA,NA,NA
RPL34-DT,RPL34 divergent transcript,1,No,17.37578728,NA,NA,NA,NA
CD5,CD5 molecule,1,No,NA,17.37421435,NA,NA,NA
STARD13,StAR related lipid transfer domain containing 13,1,No,NA,17.06856921,NA,NA,NA
OARD1,O-acyl-ADP-ribose deacylase 1,1,No,NA,17.02127117,NA,NA,NA
RAB27B,RAB27B%2C member RAS oncogene family,1,No,NA,16.70482884,NA,NA,NA
CDH9,cadherin 9,1,No,16.64948831,NA,NA,NA,NA
POLR2A,RNA polymerase II subunit A,1,No,NA,16.61498981,NA,NA,NA
MAPK10,mitogen-activated protein kinase 10,1,No,16.26156089,NA,NA,NA,NA
RAD51B,RAD51 paralog B,1,No,NA,16.24449516,NA,NA,NA
PARD3B,par-3 family cell polarity regulator beta,1,No,NA,16.23994474,NA,NA,NA
NFASC,neurofascin,1,No,NA,16.23812372,NA,NA,NA
LOC105374618,uncharacterized LOC105374618,1,No,16.1215897,NA,NA,NA,NA
LOC105372926,uncharacterized LOC105372926,1,No,NA,16.07601879,NA,NA,NA
