genes,genes_renamed,descriptions,num_populations,is_shared,Eastern,Western,Central
ALLC,ALLC,allantoicase,3,Yes,20.93278291,20.8776174,20.74237465
PATR-C,HLA-C,major histocompatibility complex%2C class I%2C C,3,Yes,13.97974674,11.75983593,20.06876256
LOC129136883,LOC129136883,uncharacterized LOC129136883,3,Yes,14.696271,18.65412794,17.23278527
LOC107971901,LOC107971901,uncharacterized LOC107971901,3,Yes,18.19704249,15.3256286,16.48840348
LOC100610904,HLA-DPB1,HLA class II histocompatibility antigen%2C DP beta 1 chain-like,3,Yes,12.53644146,9.135152675,17.35836473
LOC112209743,LOC112209743,uncharacterized LOC112209743,3,Yes,12.06845713,9.649492487,17.04236834
LILRB3,LILRB3,leukocyte immunoglobulin like receptor B3,3,Yes,12.99903679,8.852540082,16.76486981
LOC134810328,LOC134810328,uncharacterized LOC134810328,3,Yes,12.64128231,11.45533455,16.28124674
SGCZ,SGCZ,sarcoglycan zeta,3,Yes,10.8649854,8.852806957,16.26271097
TUSC3,TUSC3,tumor suppressor candidate 3,3,Yes,11.60951478,9.370026624,15.63364583
PATR-A,HLA-A,patr class I histocompatibility antigen%2C A-126 alpha chain,3,Yes,14.93240902,10.93109785,15.39985908
SCARF1,SCARF1,scavenger receptor class F member 1,3,Yes,14.76634639,12.71814587,15.25318275
ZSCAN5C,ZSCAN5C,zinc finger and SCAN domain containing 5C,3,Yes,13.21705038,8.494154684,15.1135137
KIF26B,KIF26B,kinesin family member 26B,3,Yes,13.75469751,11.91348617,12.42428007
DOCK8,DOCK8,dedicator of cytokinesis 8,3,Yes,12.17747455,9.368138378,12.19952191
BRF1,BRF1,BRF1 RNA polymerase III transcription initiation factor subunit,2,Yes,16.22426184,14.24882336,NA
LOC462552,HCG22,protein PBMUCL2,2,Yes,10.76912007,NA,15.81037671
ZNF28,ZNF28,zinc finger protein 28,2,Yes,15.13668603,12.39701537,NA
KAZN,KAZN,kazrin%2C periplakin interacting protein,2,Yes,NA,9.472940496,14.87367078
LOC457604,CFHR4,complement factor H-related protein 4,2,Yes,10.65518891,NA,14.3003813
INPP5A,INPP5A,inositol polyphosphate-5-phosphatase A,2,Yes,13.87067742,9.737919755,NA
GALNT14,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,2,Yes,10.59354608,NA,13.48976078
LILRA2,LILRA2,leukocyte immunoglobulin-like receptor%2C subfamily A (with TM domain)%2C member 2,2,Yes,10.57326783,NA,13.4667052
FOXK2,FOXK2,forkhead box K2,2,Yes,11.11962431,13.11667411,NA
DLGAP2,DLGAP2,DLG associated protein 2,2,Yes,12.87276612,8.402475801,NA
LOC104005939,LOC104005939,uncharacterized LOC104005939,2,Yes,12.5900622,NA,12.35193804
CSMD1,CSMD1,CUB and Sushi multiple domains 1,2,Yes,12.07830767,8.797444011,NA
