chromosome,start,end,population,T_within_myr,Tpooled_Twithin_ratio,genes,gene_biotypes,descriptions,tr_overlap_percent,SRA_overlap_percent
chr12_hap1_hsa2a,119177000,119178000,Eastern,20.93278291,0.955899702,ALLC,protein_coding,allantoicase,0,22.9
chr12_hap1_hsa2a,119177000,119178000,Western,20.8776174,0.958425502,ALLC,protein_coding,allantoicase,0,22.9
chr12_hap1_hsa2a,119177000,119178000,Central,20.74237465,0.964674551,ALLC,protein_coding,allantoicase,0,22.9
chr5_hap1_hsa6,37158000,37159000,Central,20.06876256,0.524985349,PATR-C,protein_coding,major histocompatibility complex%2C class I%2C C,3.4,71.7
chr5_hap1_hsa6,37156000,37157000,Central,19.84778304,0.536450455,NA,,,1.5,83.5
chr14_hap1_hsa13,119821000,119822000,Western,18.65412794,0.976992974,LOC129136883,lncRNA,uncharacterized LOC129136883,1.9,50.4
chr12_hap1_hsa2a,122144000,122145000,Eastern,18.19704249,0.901577668,LOC107971901,lncRNA,uncharacterized LOC107971901,0,45.2
chr5_hap1_hsa6,180472000,180473000,Eastern,17.62524544,0.820729097,NA,,,0,23.6
chr3_hap1_hsa4,145551000,145552000,Central,17.40441849,0.287245473,GYPB,protein_coding,glycophorin B (MNS blood group),1.9,45.7
chr5_hap1_hsa6,38996000,38997000,Central,17.35836473,0.510990225,LOC100610904,protein_coding,HLA class II histocompatibility antigen%2C DP beta 1 chain-like,0,100
chr14_hap1_hsa13,119821000,119822000,Central,17.23278527,1.057574365,LOC129136883,lncRNA,uncharacterized LOC129136883,1.9,50.4
chr6_hap1_hsa7,9089000,9090000,Central,17.04236834,0.537548897,LOC112209743,lncRNA,uncharacterized LOC112209743,0,94.8
chr20_hap1_hsa19,57039000,57040000,Central,16.76486981,0.552115194,LILRB3,protein_coding,leukocyte immunoglobulin like receptor B3,3.3,20.1
chr12_hap1_hsa2a,122144000,122145000,Central,16.48840348,0.995005196,LOC107971901,lncRNA,uncharacterized LOC107971901,0,45.2
chr16_hap1_hsa15,11037000,11038000,Central,16.35137811,0.250118351,LOC112205572,protein_coding,serine/threonine-protein kinase Nek4-like,2,69.3
chr5_hap1_hsa6,37201000,37202000,Central,16.28124674,0.246294867,LOC134810328,protein_coding,uncharacterized LOC134810328,0,100
chr7_hap1_hsa8,22927000,22928000,Central,16.26271097,0.531912932,SGCZ,protein_coding,sarcoglycan zeta,1.8,32.4
chr15_hap1_hsa14,103314000,103315000,Eastern,16.22426184,0.691777801,BRF1,protein_coding,BRF1 RNA polymerase III transcription initiation factor subunit,0,21.2
chr5_hap1_hsa6,36937000,36938000,Central,15.81037671,0.522669043,LOC462552,protein_coding,protein PBMUCL2,3,99.4
chr7_hap1_hsa8,23866000,23867000,Central,15.63364583,0.556387048,TUSC3,protein_coding,tumor suppressor candidate 3,0,100
chr5_hap1_hsa6,35850000,35851000,Central,15.39985908,0.507256987,PATR-A,protein_coding,patr class I histocompatibility antigen%2C A-126 alpha chain,3.6,37.1
chr12_hap1_hsa2a,122144000,122145000,Western,15.3256286,1.070497502,LOC107971901,lncRNA,uncharacterized LOC107971901,0,45.2
chr19_hap1_hsa17,12122000,12123000,Central,15.25318275,0.830530519,SCARF1,protein_coding,scavenger receptor class F member 1,2.9,26
chr20_hap1_hsa19,55681000,55682000,Eastern,15.13668603,0.75673517,ZNF28,protein_coding,zinc finger protein 28,0,46
chr5_hap1_hsa6,180472000,180473000,Western,15.12996129,0.956086503,NA,,,0,23.6
chr20_hap1_hsa19,59150000,59151000,Central,15.1135137,0.641410667,ZSCAN5C,protein_coding,zinc finger and SCAN domain containing 5C,2.1,34.3
chr5_hap1_hsa6,35852000,35853000,Eastern,14.93240902,0.688774681,PATR-A,protein_coding,patr class I histocompatibility antigen%2C A-126 alpha chain,3.1,24.7
