chromosome,start,end,T_pooled_myr,genes,descriptions,gene_biotypes,SRA_overlap_percent,tr_overlap_percent
chr1,245398000,245399000,22.64447458,SMYD3,SET and MYND domain containing 3,protein_coding,100,1.8
chr22,18549000,18550000,21.20716569,MICAL3,microtubule associated monooxygenase%2C calponin and LIM domain containing 3,protein_coding,86.4,2.7
chr10,1239000,1240000,21.05392507,ADARB2,adenosine deaminase RNA specific B2 (inactive),protein_coding,97,0
chr10,134067000,134068000,20.74136465,ADGRA1,adhesion G protein-coupled receptor A1,protein_coding,21.7,0
chr5,1326000,1327000,19.84564352,SLC6A3,solute carrier family 6 member 3,protein_coding,48.1,0
chr18,79453000,79454000,18.34999213,ATP9B,ATPase phospholipid transporting 9B (putative),protein_coding,99.2,3
chr17,836000,837000,17.28822612,NXN,nucleoredoxin,protein_coding,58.3,4.2
chr19,16062000,16063000,17.12683849,CYP4F11,cytochrome P450 family 4 subfamily F member 11,protein_coding,74.2,1.1
chr8,142622000,142623000,16.35015746,MROH5,maestro heat like repeat family member 5,protein_coding,60.2,2
chr10,317000,318000,16.29754009,DIP2C,disco interacting protein 2 homolog C,protein_coding,86.6,2.2
chr16,493000,494000,15.7297223,LOC124907820,RAB11 family interacting protein 3,protein_coding,81.9,3.6
chr16,493000,494000,15.7297223,RAB11FIP3,RAB11 family interacting protein 3,protein_coding,81.9,3.6
chr14,94160000,94161000,15.67748317,EML1,EMAP like 1,protein_coding,20.7,0
chr6,31209000,31210000,15.56549676,HLA-B,major histocompatibility complex%2C class I%2C B,protein_coding,82.7,1.2
chr9,149972000,149973000,15.48698567,EHMT1,euchromatic histone lysine methyltransferase 1,protein_coding,98.8,2
chr4,37554000,37555000,14.52735311,C4orf19,chromosome 4 open reading frame 19,protein_coding,21.1,1.5
chr10,133310000,133311000,14.47882553,LRRC27,leucine rich repeat containing 27,protein_coding,77,5
chr13,13638000,13639000,13.54616526,GGT4P,gamma-glutamyltransferase 4 pseudogene,pseudogene,46.8,0
chr6,29804000,29805000,13.50203646,HCG4P5,HLA complex group 4 pseudogene 5,pseudogene,81.1,2.8
chr12,132198000,132199000,13.47886047,NOC4L,nucleolar complex associated 4 homolog,protein_coding,25.3,2.2
chr6,31136000,31137000,13.4283428,HLA-C,major histocompatibility complex%2C class I%2C C,protein_coding,100,3.4
chr16,95733000,95734000,13.16357381,CHMP1A,charged multivesicular body protein 1A,protein_coding,60.1,1.1
chr17,372000,373000,12.69016744,RFLNB,refilin B,protein_coding,50.2,1.1
