species,id,chrom,gaps,gapless_status,endLength,startLength,T_status,is_T2T,T2T_status,Sample,type,dataset,Assembler,p1,p2,HPRC_meta.Population,HPRC_PANPAN.color,hgdp_tgp_meta.Genetic.region,hgdp_tgp_meta.Study.region,SpeciesCode,hgdp_tgp_meta.Latitude,hgdp_tgp_meta.Longitude,Continent.colors,project_meta.sex,observations,Cell,Birth,Species_group
bonobo,PR00366.hap1,chr4_mat_hsa5,0,gapless,8627,6324,2T,TRUE,T2T,PR00366,hap1,PANPAN,verkko,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00366.hap1,chr8_mat_hsa10,0,gapless,5234,5609,2T,TRUE,T2T,PR00366,hap1,PANPAN,verkko,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00366.hap1,chr9_pat_hsa11,0,gapless,9722,8823,2T,TRUE,T2T,PR00366,hap1,PANPAN,verkko,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00366.hap1,chr10_mat_hsa12,0,gapless,13920,7424,2T,TRUE,T2T,PR00366,hap1,PANPAN,verkko,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00366.hap1,chr12_mat_hsa2a,0,gapless,7493,6444,2T,TRUE,T2T,PR00366,hap1,PANPAN,verkko,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00366.hap1,chr16_pat_hsa15,0,gapless,8447,9920,2T,TRUE,T2T,PR00366,hap1,PANPAN,verkko,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00366.hap1,chr18_pat_hsa16,0,gapless,9034,7700,2T,TRUE,T2T,PR00366,hap1,PANPAN,verkko,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00366.hap2,chr6_mat_hsa7,0,gapless,9962,10593,2T,TRUE,T2T,PR00366,hap2,PANPAN,verkko,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00366.hap2,chr7_pat_hsa8,0,gapless,6647,7984,2T,TRUE,T2T,PR00366,hap2,PANPAN,verkko,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00366.hap2,chr9_pat_hsa11,0,gapless,10471,7322,2T,TRUE,T2T,PR00366,hap2,PANPAN,verkko,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
