id,teloBegin,teloEnd,T2T,num_telomeres
PR00251.hap2,15,13,12,28
PR00445.hap1,10,11,6,21
AG05253_1.hap2,6,15,2,21
PR00249.hap1,10,14,5,24
PR00445.hap2,10,10,5,20
AG05253_1.hap1,8,12,5,20
mPanPan1.hap1,22,22,21,44
PR00251.hap1,8,13,4,21
PR00249.hap2,11,8,3,19
mPanPan1.hap2,21,21,19,42
PR00366.hap2,13,22,12,35
PR00366.hap1,18,22,18,40
PR00834.hap1,8,10,3,18
AG18356_6.hap1,5,10,2,15
PR01228.hap1,8,11,2,19
PR00838.hap1,5,6,2,11
PR00115.hap1,1,9,0,10
AG18357_3.hap2,8,7,1,15
AG18353_9.hap1,6,9,2,15
PR00512.hap1,3,6,0,9
AG18359_7.hap2,7,10,1,17
AG06939_13.hap2,9,11,4,20
PR01223.hap2,6,10,3,16
PR01008.hap2,16,20,15,36
AG18359_7.hap1,4,7,2,11
PR01228.hap2,4,10,0,14
AG18354_5.hap2,5,10,1,15
AG18354_5.hap1,5,10,2,15
AG18361_10.hap2,3,7,1,10
AG18358_4.hap1,8,12,3,20
PR01225.hap1,5,7,1,12
AG18356_6.hap2,5,8,3,13
PR00834.hap2,7,7,2,14
PR00512.hap2,4,9,1,13
PR00496A.hap2,7,7,1,14
PR00496A.hap1,7,7,1,14
AG16618_12.hap2,4,8,0,12
AG18360_11.hap2,3,2,0,5
AG18353_9.hap2,7,4,1,11
PR01100.hap1,8,10,1,18
AG18358_4.hap2,7,8,2,15
PR01010.hap2,15,19,11,34
PR01100.hap2,3,10,2,13
AG18357_3.hap1,7,5,1,12
PR01223.hap1,8,6,1,14
PR00838.hap2,9,9,5,18
mPanTro3.hap1,23,23,23,46
mPanTro3.hap2,21,21,19,42
PR01227.hap1,15,16,8,31
PR01009.hap1,6,6,2,12
AG18361_10.hap1,6,8,1,14
AG18355_8.hap2,3,7,1,10
AG18355_8.hap1,6,7,1,13
PR00115.hap2,9,14,4,23
AG18360_11.hap1,6,7,3,13
PR01009.hap2,3,10,1,13
AG06939_13.hap1,5,8,2,13
AG16618_12.hap1,6,10,2,16
PR01010.hap1,17,16,11,33
PR01227.hap2,15,16,12,31
PR01008.hap1,11,17,6,28
PR01225.hap2,3,10,0,13
