species,id,chrom,gaps,gapless_status,endLength,startLength,T_status,is_T2T,T2T_status,Sample,type,dataset,Assembler,p1,p2,HPRC_meta.Population,HPRC_PANPAN.color,hgdp_tgp_meta.Genetic.region,hgdp_tgp_meta.Study.region,SpeciesCode,hgdp_tgp_meta.Latitude,hgdp_tgp_meta.Longitude,Continent.colors,project_meta.sex,observations,Cell,Birth,Species_group
bonobo,AG05253_1.hap1,chr1_pat_hsa1,11,with gaps,7104,0,1T,FALSE,with gaps 1T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr2_mat_hsa3,5,with gaps,828,0,1T,FALSE,with gaps 1T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr3_pat_hsa4,3,with gaps,7110,3428,2T,FALSE,with gaps 2T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr4_mat_hsa5,4,with gaps,5157,3729,2T,FALSE,with gaps 2T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr5_pat_hsa6,17,with gaps,2464,0,1T,FALSE,with gaps 1T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr6_mat_hsa7,21,with gaps,5150,4622,2T,FALSE,with gaps 2T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr7_pat_hsa8,8,with gaps,6370,0,1T,FALSE,with gaps 1T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr8_mat_hsa10,6,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr9_pat_hsa11,1,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr10_mat_hsa12,5,with gaps,0,3971,1T,FALSE,with gaps 1T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
