species,id,chrom,gaps,gapless_status
bonobo,AG05253_1.hap1,chr1_pat_hsa1,11,with gaps
bonobo,AG05253_1.hap1,chr2_mat_hsa3,5,with gaps
bonobo,AG05253_1.hap1,chr3_pat_hsa4,3,with gaps
bonobo,AG05253_1.hap1,chr4_mat_hsa5,4,with gaps
bonobo,AG05253_1.hap1,chr5_pat_hsa6,17,with gaps
bonobo,AG05253_1.hap1,chr6_mat_hsa7,21,with gaps
bonobo,AG05253_1.hap1,chr7_pat_hsa8,8,with gaps
bonobo,AG05253_1.hap1,chr8_mat_hsa10,6,with gaps
bonobo,AG05253_1.hap1,chr9_pat_hsa11,1,with gaps
bonobo,AG05253_1.hap1,chr10_mat_hsa12,5,with gaps
bonobo,AG05253_1.hap1,chr11_mat_hsa9,28,with gaps
bonobo,AG05253_1.hap1,chr12_mat_hsa2a,14,with gaps
bonobo,AG05253_1.hap1,chr13_mat_hsa2b,4,with gaps
bonobo,AG05253_1.hap1,chr14_pat_hsa13,17,with gaps
bonobo,AG05253_1.hap1,chr15_mat_hsa14,12,with gaps
bonobo,AG05253_1.hap1,chr16_pat_hsa15,13,with gaps
bonobo,AG05253_1.hap1,chr17_mat_hsa18,9,with gaps
bonobo,AG05253_1.hap1,chr18_pat_hsa16,29,with gaps
bonobo,AG05253_1.hap1,chr19_pat_hsa17,20,with gaps
bonobo,AG05253_1.hap1,chr20_pat_hsa19,16,with gaps
bonobo,AG05253_1.hap1,chr21_mat_hsa20,5,with gaps
bonobo,AG05253_1.hap1,chr22_pat_hsa21,8,with gaps
bonobo,AG05253_1.hap1,chr23_pat_hsa22,40,with gaps
bonobo,AG05253_1.hap2,chr1_pat_hsa1,12,with gaps
bonobo,AG05253_1.hap2,chr2_mat_hsa3,2,with gaps
bonobo,AG05253_1.hap2,chr3_pat_hsa4,3,with gaps
bonobo,AG05253_1.hap2,chr4_mat_hsa5,5,with gaps
bonobo,AG05253_1.hap2,chr5_pat_hsa6,11,with gaps
bonobo,AG05253_1.hap2,chr6_mat_hsa7,18,with gaps
bonobo,AG05253_1.hap2,chr7_pat_hsa8,25,with gaps
bonobo,AG05253_1.hap2,chr8_mat_hsa10,8,with gaps
bonobo,AG05253_1.hap2,chr9_pat_hsa11,4,with gaps
bonobo,AG05253_1.hap2,chr10_mat_hsa12,7,with gaps
bonobo,AG05253_1.hap2,chr11_mat_hsa9,22,with gaps
bonobo,AG05253_1.hap2,chr12_mat_hsa2a,18,with gaps
bonobo,AG05253_1.hap2,chr13_mat_hsa2b,3,with gaps
bonobo,AG05253_1.hap2,chr14_pat_hsa13,7,with gaps
bonobo,AG05253_1.hap2,chr15_mat_hsa14,15,with gaps
