chrom,endLength,startLength,sample
chr1_hap1_hsa1,0,9772,PR00834.hap1
chr2_hap1_hsa3,10576,13223,PR00834.hap1
chr3_hap1_hsa4,0,8103,PR00834.hap1
chr4_hap1_hsa5,0,0,PR00834.hap1
chr5_hap1_hsa6,4008,0,PR00834.hap1
chr6_hap1_hsa7,6712,0,PR00834.hap1
chr7_hap1_hsa8,0,3646,PR00834.hap1
chr8_hap1_hsa10,11946,0,PR00834.hap1
chr9_hap1_hsa11,7077,6044,PR00834.hap1
chr10_hap1_hsa12,9610,0,PR00834.hap1
chr11_hap1_hsa9,5893,0,PR00834.hap1
chr12_hap1_hsa2a,0,0,PR00834.hap1
chr13_hap1_hsa2b,0,0,PR00834.hap1
chr14_hap1_hsa13,8741,7047,PR00834.hap1
chr15_hap1_hsa14,1706,0,PR00834.hap1
chr16_hap1_hsa15,6915,0,PR00834.hap1
chr17_hap1_hsa18,0,0,PR00834.hap1
chr18_hap1_hsa16,0,0,PR00834.hap1
chr19_hap1_hsa17,0,809,PR00834.hap1
chr20_hap1_hsa19,0,0,PR00834.hap1
chr21_hap1_hsa20,0,0,PR00834.hap1
chr22_hap1_hsa21,0,10348,PR00834.hap1
chr23_hap1_hsa22,0,0,PR00834.hap1
chrX_hap1_hsaX,5368,0,PR00834.hap1
chr1_hap1_hsa1,0,0,AG18356_6.hap1
chr2_hap1_hsa3,0,4917,AG18356_6.hap1
chr3_hap1_hsa4,0,0,AG18356_6.hap1
chr4_hap1_hsa5,2703,0,AG18356_6.hap1
chr5_hap1_hsa6,6272,0,AG18356_6.hap1
chr6_hap1_hsa7,0,0,AG18356_6.hap1
chr7_hap1_hsa8,2727,8530,AG18356_6.hap1
chr8_hap1_hsa10,835,0,AG18356_6.hap1
chr9_hap1_hsa11,7724,1722,AG18356_6.hap1
chr10_hap1_hsa12,0,8087,AG18356_6.hap1
chr11_hap1_hsa9,6025,0,AG18356_6.hap1
chr12_hap1_hsa2a,9419,0,AG18356_6.hap1
chr13_hap1_hsa2b,7625,0,AG18356_6.hap1
chr14_hap1_hsa13,7266,0,AG18356_6.hap1
chr15_hap1_hsa14,4381,0,AG18356_6.hap1
chr16_hap1_hsa15,0,0,AG18356_6.hap1
chr17_hap1_hsa18,0,1210,AG18356_6.hap1
chr18_hap1_hsa16,0,0,AG18356_6.hap1
chr19_hap1_hsa17,0,0,AG18356_6.hap1
chr20_hap1_hsa19,0,0,AG18356_6.hap1
chr21_hap1_hsa20,0,0,AG18356_6.hap1
chr22_hap1_hsa21,0,0,AG18356_6.hap1
chr23_hap1_hsa22,0,0,AG18356_6.hap1
chrX_hap1_hsaX,0,11709,AG18356_6.hap1
chr1_hap1_hsa1,0,4448,PR01228.hap1
chr2_hap1_hsa3,12449,0,PR01228.hap1
chr3_hap1_hsa4,0,11404,PR01228.hap1
chr4_hap1_hsa5,0,10448,PR01228.hap1
chr5_hap1_hsa6,5300,0,PR01228.hap1
chr6_hap1_hsa7,0,0,PR01228.hap1
chr7_hap1_hsa8,5269,0,PR01228.hap1
chr8_hap1_hsa10,0,5683,PR01228.hap1
chr9_hap1_hsa11,5774,0,PR01228.hap1
chr10_hap1_hsa12,3943,0,PR01228.hap1
chr11_hap1_hsa9,0,0,PR01228.hap1
chr12_hap1_hsa2a,5528,6474,PR01228.hap1
chr13_hap1_hsa2b,0,0,PR01228.hap1
chr14_hap1_hsa13,3409,0,PR01228.hap1
chr15_hap1_hsa14,3524,0,PR01228.hap1
chr16_hap1_hsa15,0,0,PR01228.hap1
chr17_hap1_hsa18,470,0,PR01228.hap1
chr18_hap1_hsa16,7066,0,PR01228.hap1
chr19_hap1_hsa17,0,4292,PR01228.hap1
chr20_hap1_hsa19,4390,4605,PR01228.hap1
chr21_hap1_hsa20,0,0,PR01228.hap1
chr22_hap1_hsa21,0,6804,PR01228.hap1
chr23_hap1_hsa22,0,0,PR01228.hap1
chrX_hap1_hsaX,0,0,PR01228.hap1
chr1_hap1_hsa1,0,0,PR00838.hap1
chr2_hap1_hsa3,0,0,PR00838.hap1
chr3_hap1_hsa4,0,7976,PR00838.hap1
chr4_hap1_hsa5,0,0,PR00838.hap1
chr5_hap1_hsa6,0,0,PR00838.hap1
chr6_hap1_hsa7,0,0,PR00838.hap1
chr7_hap1_hsa8,0,0,PR00838.hap1
chr8_hap1_hsa10,3784,3985,PR00838.hap1
chr9_hap1_hsa11,2455,0,PR00838.hap1
chr10_hap1_hsa12,0,13883,PR00838.hap1
chr11_hap1_hsa9,0,0,PR00838.hap1
chr12_hap1_hsa2a,12706,0,PR00838.hap1
