chrom,endLength,startLength,sample
chr1_pat_hsa1,0,0,PR00251.hap2
chr2_mat_hsa3,0,6940,PR00251.hap2
chr3_pat_hsa4,0,8333,PR00251.hap2
chr4_mat_hsa5,5866,0,PR00251.hap2
chr5_pat_hsa6,8038,3647,PR00251.hap2
chr6_mat_hsa7,13258,8522,PR00251.hap2
chr7_pat_hsa8,11808,8135,PR00251.hap2
chr8_mat_hsa10,0,0,PR00251.hap2
chr9_pat_hsa11,4095,4993,PR00251.hap2
chr10_mat_hsa12,10856,8770,PR00251.hap2
chr11_mat_hsa9,11886,11121,PR00251.hap2
chr12_mat_hsa2a,5059,3248,PR00251.hap2
chr13_mat_hsa2b,5527,2606,PR00251.hap2
chr14_pat_hsa13,5745,4463,PR00251.hap2
chr15_mat_hsa14,0,0,PR00251.hap2
chr16_pat_hsa15,2427,5922,PR00251.hap2
chr17_mat_hsa18,0,0,PR00251.hap2
chr18_pat_hsa16,3489,4630,PR00251.hap2
chr19_pat_hsa17,0,0,PR00251.hap2
chr20_pat_hsa19,0,8127,PR00251.hap2
chr21_mat_hsa20,5005,8813,PR00251.hap2
chr22_pat_hsa21,0,0,PR00251.hap2
chr23_pat_hsa22,0,0,PR00251.hap2
chrX_mat_hsaX,4520,3502,PR00251.hap2
chrY_pat_hsaY,0,7420,PR00251.hap2
chr1_pat_hsa1,8921,2328,PR00445.hap1
chr2_mat_hsa3,12447,5768,PR00445.hap1
chr3_pat_hsa4,0,0,PR00445.hap1
chr4_mat_hsa5,9315,11987,PR00445.hap1
chr5_pat_hsa6,0,5795,PR00445.hap1
chr6_mat_hsa7,8211,0,PR00445.hap1
chr7_pat_hsa8,11519,0,PR00445.hap1
chr8_mat_hsa10,0,3204,PR00445.hap1
chr9_pat_hsa11,0,5538,PR00445.hap1
chr10_mat_hsa12,0,0,PR00445.hap1
chr11_mat_hsa9,7499,7194,PR00445.hap1
chr12_mat_hsa2a,11052,5496,PR00445.hap1
chr13_mat_hsa2b,0,0,PR00445.hap1
chr14_pat_hsa13,0,0,PR00445.hap1
chr15_mat_hsa14,8791,0,PR00445.hap1
chr16_pat_hsa15,14498,0,PR00445.hap1
chr17_mat_hsa18,0,0,PR00445.hap1
chr18_pat_hsa16,0,0,PR00445.hap1
chr19_pat_hsa17,0,0,PR00445.hap1
chr20_pat_hsa19,0,2346,PR00445.hap1
chr21_mat_hsa20,4890,5622,PR00445.hap1
chr22_pat_hsa21,0,0,PR00445.hap1
chr23_pat_hsa22,7000,0,PR00445.hap1
chrX_mat_hsaX,0,0,PR00445.hap1
chrY_pat_hsaY,0,0,PR00445.hap1
chr1_pat_hsa1,0,0,AG05253_1.hap2
chr2_mat_hsa3,4556,2414,AG05253_1.hap2
chr3_pat_hsa4,0,4203,AG05253_1.hap2
chr4_mat_hsa5,8752,0,AG05253_1.hap2
chr5_pat_hsa6,0,5241,AG05253_1.hap2
chr6_mat_hsa7,0,2505,AG05253_1.hap2
chr7_pat_hsa8,2953,0,AG05253_1.hap2
chr8_mat_hsa10,1652,0,AG05253_1.hap2
chr9_pat_hsa11,5533,4177,AG05253_1.hap2
chr10_mat_hsa12,3824,0,AG05253_1.hap2
chr11_mat_hsa9,2371,0,AG05253_1.hap2
chr12_mat_hsa2a,1527,0,AG05253_1.hap2
chr13_mat_hsa2b,7555,0,AG05253_1.hap2
chr14_pat_hsa13,5014,0,AG05253_1.hap2
chr15_mat_hsa14,0,0,AG05253_1.hap2
chr16_pat_hsa15,7922,0,AG05253_1.hap2
chr17_mat_hsa18,0,0,AG05253_1.hap2
chr18_pat_hsa16,6978,0,AG05253_1.hap2
chr19_pat_hsa17,2713,0,AG05253_1.hap2
chr20_pat_hsa19,1309,0,AG05253_1.hap2
chr21_mat_hsa20,0,4424,AG05253_1.hap2
chr22_pat_hsa21,0,0,AG05253_1.hap2
chr23_pat_hsa22,3829,0,AG05253_1.hap2
