sample,sequence,count
AG05253_1.hap1.chr,chr1_pat_hsa1,11
AG05253_1.hap1.chr,chr2_mat_hsa3,5
AG05253_1.hap1.chr,chr3_pat_hsa4,3
AG05253_1.hap1.chr,chr4_mat_hsa5,4
AG05253_1.hap1.chr,chr5_pat_hsa6,17
AG05253_1.hap1.chr,chr6_mat_hsa7,21
AG05253_1.hap1.chr,chr7_pat_hsa8,8
AG05253_1.hap1.chr,chr8_mat_hsa10,6
AG05253_1.hap1.chr,chr9_pat_hsa11,1
AG05253_1.hap1.chr,chr10_mat_hsa12,5
AG05253_1.hap1.chr,chr11_mat_hsa9,28
AG05253_1.hap1.chr,chr12_mat_hsa2a,14
AG05253_1.hap1.chr,chr13_mat_hsa2b,4
AG05253_1.hap1.chr,chr14_pat_hsa13,17
AG05253_1.hap1.chr,chr15_mat_hsa14,12
AG05253_1.hap1.chr,chr16_pat_hsa15,13
AG05253_1.hap1.chr,chr17_mat_hsa18,9
AG05253_1.hap1.chr,chr18_pat_hsa16,29
AG05253_1.hap1.chr,chr19_pat_hsa17,20
AG05253_1.hap1.chr,chr20_pat_hsa19,16
AG05253_1.hap1.chr,chr21_mat_hsa20,5
AG05253_1.hap1.chr,chr22_pat_hsa21,8
AG05253_1.hap1.chr,chr23_pat_hsa22,40
AG05253_1.hap1.chr,chrX_mat_hsaX,8
AG05253_1.hap1.chr,chrY_pat_hsaY,33
AG05253_1.hap2.chr,chr1_pat_hsa1,12
AG05253_1.hap2.chr,chr2_mat_hsa3,2
AG05253_1.hap2.chr,chr3_pat_hsa4,3
AG05253_1.hap2.chr,chr4_mat_hsa5,5
AG05253_1.hap2.chr,chr5_pat_hsa6,11
AG05253_1.hap2.chr,chr6_mat_hsa7,18
AG05253_1.hap2.chr,chr7_pat_hsa8,25
AG05253_1.hap2.chr,chr8_mat_hsa10,8
AG05253_1.hap2.chr,chr9_pat_hsa11,4
AG05253_1.hap2.chr,chr10_mat_hsa12,7
AG05253_1.hap2.chr,chr11_mat_hsa9,22
AG05253_1.hap2.chr,chr12_mat_hsa2a,18
AG05253_1.hap2.chr,chr13_mat_hsa2b,3
AG05253_1.hap2.chr,chr14_pat_hsa13,7
AG05253_1.hap2.chr,chr15_mat_hsa14,15
AG05253_1.hap2.chr,chr16_pat_hsa15,9
